datetime;open;high;low;close;volume
2023-09-18;48.63000;48.84000;48.30000;48.74000;80354
2023-09-15;48.60000;48.96000;48.27000;48.30000;424600
2023-09-14;48.84000;49.10000;48.76000;48.97000;292500
2023-09-13;48.84000;48.92000;48.11000;48.34000;447200
2023-09-12;48.07000;48.83000;48.07000;48.76000;329900
2023-09-11;48.61000;48.78000;47.48000;47.69000;450000
2023-09-08;48.03000;48.62000;48.03000;48.30000;331900
2023-09-07;47.96000;48.21000;47.75000;47.85000;530400
2023-09-06;47.88000;48.22000;47.60000;47.93000;352500
2023-09-05;48.01000;48.46000;47.96000;47.97000;769900
2023-09-01;47.33000;47.85000;47.33000;47.78000;587400
2023-08-31;46.98000;46.98000;46.56000;46.85000;174600
2023-08-30;46.73000;46.92000;46.61000;46.81000;181700
2023-08-29;46.48000;46.61000;46.07000;46.56000;386900
2023-08-28;46.21000;46.72000;46.11000;46.39000;361000
2023-08-25;45.88000;46.29000;45.51000;46.05000;455600
2023-08-24;45.61000;46.10000;45.55000;45.59000;417500
2023-08-23;45.71000;46.05000;45.28000;46.00000;449800
2023-08-22;46.57000;46.68000;46.10000;46.12000;637900
2023-08-21;46.91000;47.12000;46.17000;46.48000;435000
2023-08-18;46.02000;46.77000;45.92000;46.71000;357900
2023-08-17;46.39000;46.91000;46.32000;46.32000;688400
2023-08-16;46.24000;46.73000;45.78000;45.80000;391400
2023-08-15;46.84000;46.90000;46.14000;46.19000;402200
2023-08-14;47.25000;47.34000;46.83000;47.21000;669500
2023-08-11;46.70000;47.42000;46.65000;47.37000;510900
2023-08-10;46.83000;47.31000;46.41000;46.71000;702300
2023-08-09;46.57000;47.20000;46.37000;46.77000;485700
2023-08-08;45.29000;46.18000;44.92000;46.16000;352800
2023-08-07;46.05000;46.20000;45.79000;45.93000;273100
2023-08-04;46.14000;46.57000;45.84000;45.85000;536000
2023-08-03;45.35000;46.23000;45.22000;45.82000;525200
2023-08-02;45.68000;45.83000;44.96000;45.32000;438300
2023-08-01;45.98000;46.12000;45.54000;45.99000;497300
2023-07-31;45.71000;46.36000;45.71000;46.23000;342200
2023-07-28;45.28000;45.40000;44.73000;45.36000;350500
2023-07-27;45.78000;45.95000;45.10000;45.24000;377200
2023-07-26;45.14000;45.73000;45.07000;45.52000;399700
2023-07-25;45.25000;45.77000;45.00000;45.56000;315700
2023-07-24;44.82000;45.59000;44.82000;45.29000;293100
2023-07-21;44.43000;44.63000;44.18000;44.60000;291600
2023-07-20;44.14000;44.34000;43.92000;44.27000;270100
2023-07-19;43.62000;44.11000;43.53000;43.82000;366000
2023-07-18;43.10000;43.99000;43.04000;43.61000;432400
2023-07-17;42.96000;43.31000;42.84000;43.15000;265200
2023-07-14;44.07000;44.07000;43.02000;43.08000;620000
2023-07-13;44.41000;44.72000;43.90000;44.25000;378900
2023-07-12;44.36000;44.63000;44.16000;44.41000;486100
2023-07-11;43.23000;44.05000;43.19000;43.98000;307000
2023-07-10;42.57000;43.06000;42.53000;43.02000;420000
2023-07-07;41.59000;43.06000;41.56000;42.68000;869700
2023-07-06;42.33000;42.55000;41.43000;41.76000;611000
2023-07-05;43.16000;43.16000;42.52000;42.75000;352400
2023-07-03;42.97000;43.29000;42.87000;43.01000;230500
2023-06-30;42.82000;43.08000;42.54000;42.84000;1340800
2023-06-29;42.21000;42.54000;42.02000;42.54000;1058000
2023-06-28;41.64000;42.10000;41.28000;42.06000;502200
2023-06-27;41.45000;41.80000;41.26000;41.66000;280900
2023-06-26;40.83000;41.75000;40.83000;41.51000;344000
2023-06-23;40.71000;40.97000;40.57000;40.84000;532300
2023-06-22;41.35000;41.38000;40.99000;41.21000;479000
2023-06-21;41.30000;42.07000;41.23000;41.75000;424000
2023-06-20;42.11000;42.12000;41.13000;41.43000;669200
2023-06-16;42.62000;42.71000;42.24000;42.38000;421700
2023-06-15;41.99000;42.74000;41.99000;42.40000;551600
2023-06-14;42.79000;42.94000;41.66000;41.96000;540800
2023-06-13;42.61000;43.19000;42.37000;42.39000;409200
2023-06-12;41.93000;42.54000;41.87000;42.18000;372600
2023-06-09;42.82000;42.98000;42.46000;42.54000;631800
2023-06-08;43.00000;43.16000;42.12000;42.81000;758600
2023-06-07;42.05000;43.04000;42.05000;42.99000;492200
2023-06-06;41.32000;42.18000;41.26000;42.15000;406700
2023-06-05;42.70000;42.78000;41.79000;41.84000;384000
2023-06-02;41.63000;42.32000;41.43000;42.11000;452200
2023-06-01;40.46000;41.37000;40.24000;40.94000;484100
2023-05-31;40.50000;40.68000;40.28000;40.39000;499500
2023-05-30;40.83000;41.12000;40.67000;41.09000;501600
2023-05-26;41.84000;41.95000;41.24000;41.44000;619900
2023-05-25;41.84000;41.85000;41.26000;41.62000;449400
2023-05-24;42.49000;42.68000;42.07000;42.37000;346600
2023-05-23;42.13000;42.70000;42.07000;42.22000;447500
2023-05-22;41.75000;42.22000;41.75000;41.85000;341900
2023-05-19;41.99000;42.25000;41.72000;41.90000;425700
2023-05-18;41.06000;41.67000;40.82000;41.61000;480900
2023-05-17;40.90000;41.54000;40.69000;41.34000;720500
2023-05-16;41.47000;41.58000;40.53000;40.55000;353900
2023-05-15;41.53000;41.89000;41.26000;41.63000;323300
2023-05-12;41.40000;41.71000;41.08000;41.42000;272300
2023-05-11;41.17000;41.38000;40.90000;41.19000;352100
2023-05-10;42.29000;42.34000;41.37000;41.68000;404400
2023-05-09;41.78000;42.47000;41.69000;42.11000;273700
2023-05-08;42.64000;42.86000;42.10000;42.14000;275400
2023-05-05;42.00000;42.36000;41.87000;42.08000;399300
2023-05-04;41.38000;41.78000;40.83000;40.96000;707900
2023-05-03;41.65000;42.11000;41.37000;41.39000;870400
2023-05-02;43.61000;43.61000;41.78000;42.18000;652000
2023-05-01;44.06000;44.53000;43.86000;44.06000;246000
2023-04-28;43.77000;44.79000;43.59000;44.57000;434100
2023-04-27;43.72000;44.05000;43.37000;43.92000;320100
2023-04-26;44.19000;44.43000;43.51000;43.71000;372800
2023-04-25;44.99000;45.00000;44.28000;44.53000;276600
2023-04-24;44.59000;45.59000;44.59000;45.39000;414500
2023-04-21;45.15000;45.15000;44.58000;44.74000;316100
2023-04-20;44.84000;45.02000;44.48000;45.00000;339000
2023-04-19;45.13000;45.44000;44.93000;45.42000;407200
2023-04-18;45.26000;45.65000;45.08000;45.56000;250600
2023-04-17;45.75000;45.97000;45.26000;45.39000;404800
2023-04-14;45.84000;46.13000;45.61000;45.87000;263800
2023-04-13;45.44000;45.93000;45.36000;45.80000;214700
2023-04-12;45.77000;45.90000;45.38000;45.48000;271800
2023-04-11;45.33000;45.71000;45.07000;45.49000;234300
2023-04-10;44.86000;45.55000;44.86000;45.11000;505600
2023-04-06;45.31000;45.33000;44.63000;44.73000;837500
2023-04-05;44.89000;45.39000;44.52000;45.37000;330200
2023-04-04;45.76000;45.76000;44.42000;44.84000;437600
2023-04-03;45.61000;45.94000;45.27000;45.65000;756000
2023-03-31;43.55000;43.84000;43.45000;43.75000;306800
2023-03-30;43.62000;43.72000;43.22000;43.41000;452600
2023-03-29;43.07000;43.33000;42.82000;43.27000;1068600
2023-03-28;41.84000;42.83000;41.84000;42.65000;266100
2023-03-27;41.68000;42.28000;41.29000;42.03000;503400
2023-03-24;40.41000;41.36000;40.18000;41.21000;791600
2023-03-23;41.87000;42.29000;40.72000;41.09000;570900
2023-03-22;43.00000;43.18000;41.99000;41.99000;421900
2023-03-21;42.31000;43.07000;42.24000;42.96000;474300
2023-03-20;40.63000;41.73000;40.63000;41.49000;870600
2023-03-17;41.19000;41.41000;40.32000;40.63000;984500
2023-03-16;40.10000;41.48000;39.94000;41.37000;878700
2023-03-15;41.66000;41.97000;40.33000;40.96000;1465000
2023-03-14;42.94000;44.18000;42.48000;43.20000;692600
2023-03-13;42.70000;43.68000;41.97000;42.88000;1455800
2023-03-10;44.32000;44.93000;43.51000;43.70000;624700
2023-03-09;45.24000;45.85000;44.33000;44.35000;350500
2023-03-08;45.25000;45.77000;44.58000;45.01000;332100
2023-03-07;45.98000;46.03000;45.33000;45.48000;303100
2023-03-06;45.98000;46.28000;45.82000;46.22000;531900
2023-03-03;45.09000;46.48000;45.07000;46.28000;372700
2023-03-02;45.08000;45.77000;44.96000;45.61000;329200
2023-03-01;44.34000;45.44000;44.31000;45.24000;464400
2023-02-28;45.30000;45.30000;44.27000;44.27000;404100
2023-02-27;44.86000;45.09000;44.54000;44.92000;381800
2023-02-24;44.23000;44.84000;43.93000;44.76000;285700
2023-02-23;44.77000;45.07000;44.28000;44.78000;293800
2023-02-22;44.32000;44.61000;43.70000;44.12000;281900
2023-02-21;44.38000;44.82000;44.27000;44.35000;501300
2023-02-17;45.52000;45.54000;44.40000;44.56000;388500
2023-02-16;46.54000;46.88000;46.18000;46.23000;354900
2023-02-15;46.89000;46.89000;46.17000;46.76000;691900
2023-02-14;47.08000;47.75000;46.92000;47.45000;303900
2023-02-13;47.32000;47.62000;46.87000;47.44000;323700
2023-02-10;46.52000;47.67000;46.47000;47.60000;622600
2023-02-09;46.23000;46.38000;45.79000;45.83000;360900
2023-02-08;46.74000;46.91000;46.01000;46.20000;297200
2023-02-07;45.62000;46.76000;45.34000;46.66000;354400
2023-02-06;45.55000;45.84000;44.81000;45.32000;277800
2023-02-03;45.85000;46.56000;45.49000;45.53000;579300
2023-02-02;46.69000;46.69000;45.20000;45.67000;751000
2023-02-01;47.43000;47.61000;46.12000;46.79000;512200
2023-01-31;46.93000;47.68000;46.59000;47.65000;344000
2023-01-30;47.81000;47.92000;47.09000;47.14000;266900
2023-01-27;48.87000;49.12000;48.16000;48.20000;319000
2023-01-26;48.42000;49.10000;47.81000;49.07000;442900
2023-01-25;47.40000;47.64000;46.69000;47.63000;414200
2023-01-24;47.76000;47.83000;46.76000;47.76000;408600
2023-01-23;48.08000;48.45000;47.85000;47.96000;554000
2023-01-20;47.46000;48.02000;47.03000;47.94000;402700
2023-01-19;46.69000;47.57000;46.47000;47.34000;361200
2023-01-18;48.02000;48.59000;46.95000;46.97000;479300
2023-01-17;47.88000;48.32000;47.65000;47.78000;662100
2023-01-13;47.58000;47.87000;47.13000;47.75000;810200
2023-01-12;46.98000;47.95000;46.97000;47.65000;2013100
2023-01-11;46.83000;47.04000;46.25000;46.72000;6220500
2023-01-10;46.33000;46.58000;45.78000;46.52000;294000
2023-01-09;47.00000;47.09000;46.09000;46.18000;1567600
