datetime;open;high;low;close;volume
2023-09-18;175.82001;175.82001;175.82001;175.82001;0
2023-09-15;176.50999;176.50999;175.75999;175.81000;1200
2023-09-14;177.98000;178.42000;177.98000;178.03999;900
2023-09-13;176.95000;177.50000;176.89000;177.50000;1600
2023-09-12;177.03999;177.03999;176.60001;176.82001;1100
2023-09-11;176.12000;177.71001;176.12000;177.37000;3200
2023-09-08;176.00000;176.16000;175.86000;175.98000;1900
2023-09-07;173.63000;175.59000;173.63000;175.56000;2200
2023-09-06;174.49001;175.17999;174.30000;174.30000;7800
2023-09-05;176.25000;176.25000;175.00000;175.00000;4000
2023-09-01;177.12000;177.59000;176.05000;176.28999;6600
2023-08-31;175.70000;176.82001;175.70000;176.19000;9900
2023-08-30;176.08000;176.55000;176.02000;176.42000;8300
2023-08-29;174.10001;175.88000;174.10001;175.88000;21600
2023-08-28;173.39000;173.80000;173.14999;173.80000;1400
2023-08-25;172.00000;172.75999;172.00000;172.75999;3900
2023-08-24;175.02000;175.02000;172.19000;172.19000;8600
2023-08-23;174.24001;175.55000;174.24001;175.35001;19900
2023-08-22;175.42000;175.42000;174.16000;174.27000;2800
2023-08-21;175.17000;175.50000;174.72000;175.34000;2100
2023-08-18;173.85001;175.64999;173.85001;175.17000;7500
2023-08-17;177.44000;177.55000;174.71001;174.71001;3700
2023-08-16;178.99001;179.83000;177.97000;177.97000;19500
2023-08-15;180.39999;180.39999;178.61000;178.78000;7600
2023-08-14;179.95000;180.67999;179.86000;180.50999;2200
2023-08-11;179.55000;180.08000;179.19000;180.03000;32000
2023-08-10;181.25999;181.86000;179.92999;179.92999;4000
2023-08-09;179.99001;180.30000;179.03000;179.38000;6400
2023-08-08;179.50999;179.81000;178.50999;179.67999;3200
2023-08-07;180.03000;181.00000;179.80000;181.00000;3600
2023-08-04;181.20000;181.31000;179.23000;179.35001;2700
2023-08-03;177.11000;178.24001;177.11000;178.10001;3300
2023-08-02;177.17999;177.78000;177.17999;177.23000;1700
2023-08-01;179.63000;179.63000;178.52000;178.67000;5000
2023-07-31;180.00000;180.17000;179.30000;179.88000;2800
2023-07-28;178.39000;179.25999;178.39000;179.25000;1000
2023-07-27;179.49001;179.49001;177.11000;177.25000;3800
2023-07-26;176.61000;178.45000;176.61000;178.06000;2800
2023-07-25;178.23000;178.23000;177.62000;178.17000;5200
2023-07-24;177.28999;178.13000;177.28999;178.10001;1600
2023-07-21;177.70000;177.71001;177.10001;177.10001;3900
2023-07-20;177.53999;177.63000;177.09000;177.19000;3400
2023-07-19;177.64000;177.87000;177.22000;177.87000;1900
2023-07-18;176.06000;176.39000;175.64000;176.27000;6300
2023-07-17;176.13000;176.74001;176.13000;176.31000;3500
2023-07-14;176.56000;176.97000;176.55000;176.55000;2000
2023-07-13;177.61000;177.61000;176.58000;176.92000;1600
2023-07-12;176.50999;176.50999;176.03999;176.03999;1800
2023-07-11;174.50999;174.89999;174.50999;174.89999;4700
2023-07-10;172.41000;173.30000;172.41000;173.30000;2900
2023-07-07;173.21001;173.41000;172.53999;172.59000;28200
2023-07-06;173.32001;173.32001;172.59000;172.59000;1800
2023-07-05;174.50999;174.95000;174.32001;174.95000;4000
2023-07-03;174.60001;175.25999;174.46001;174.91000;2000
2023-06-30;173.35001;174.70000;173.35001;174.66000;3200
2023-06-29;172.52000;172.52000;172.17999;172.17999;1400
2023-06-28;173.17000;173.17999;172.35001;172.53000;1900
2023-06-27;172.50000;173.69000;172.32001;173.27000;11100
2023-06-26;171.67000;172.81000;171.67000;172.17999;2900
2023-06-23;172.25999;172.45000;171.74001;171.89000;1500
2023-06-22;170.67000;172.78999;170.67000;172.78999;1300
2023-06-21;170.50999;171.11000;170.35001;170.35001;3100
2023-06-20;170.38000;170.92000;170.14000;170.52000;2200
2023-06-16;173.10001;173.10001;171.25000;171.25000;6500
2023-06-15;170.36000;172.77000;170.36000;172.77000;2300
2023-06-14;170.47000;170.86000;169.21001;170.36000;23500
2023-06-13;170.61000;170.80000;170.03000;170.80000;4900
2023-06-12;168.14000;169.44000;168.14000;169.44000;1900
2023-06-09;167.50999;167.66000;167.31000;167.31000;2200
2023-06-08;166.56000;168.03999;166.56000;168.03999;1900
2023-06-07;167.77000;167.77000;165.91000;165.91000;1900
2023-06-06;167.49001;167.94000;167.49001;167.70000;2400
2023-06-05;166.78000;167.19000;166.74001;167.11000;10500
2023-06-02;166.13000;167.06000;166.13000;167.06000;2400
2023-06-01;163.25000;164.62000;162.67999;163.95000;4900
2023-05-31;163.83000;163.83000;162.67000;163.74001;2600
2023-05-30;164.45000;164.64999;163.78999;164.49001;4000
2023-05-26;163.59000;165.49001;163.59000;165.19000;2100
2023-05-25;163.91000;163.91000;162.53999;162.53999;3000
2023-05-24;165.16000;165.34000;164.28000;164.72000;3400
2023-05-23;165.23000;166.44000;164.59000;164.96001;4700
2023-05-22;167.63000;167.63000;166.03000;166.46001;2100
2023-05-19;169.24001;169.24001;167.30000;167.74001;2300
2023-05-18;168.42999;169.48000;168.42999;169.48000;2000
