datetime;open;high;low;close;volume
2023-09-18;129.94000;130.35001;128.87000;130.17000;132631
2023-09-15;129.75000;130.64999;128.75999;128.89000;464700
2023-09-14;130.30000;131.07001;130.08000;130.52000;544500
2023-09-13;130.27000;130.50999;128.36000;129.00000;403800
2023-09-12;128.27000;130.25999;128.24001;130.05000;464500
2023-09-11;129.46001;130.00999;126.57000;127.11000;1879700
2023-09-08;128.14999;129.62000;128.09000;128.85001;416900
2023-09-07;127.80000;128.60001;127.26000;127.53000;320200
2023-09-06;127.63000;128.46001;126.81000;127.72000;413400
2023-09-05;128.00000;129.08000;127.68000;127.74000;388200
2023-09-01;126.00000;127.44000;126.00000;127.21000;533100
2023-08-31;125.03000;125.03000;123.84000;124.63000;313000
2023-08-30;124.17000;124.81000;123.98000;124.48000;285900
2023-08-29;123.73000;124.00000;122.53000;123.83000;396000
2023-08-28;122.92000;124.29000;122.73000;123.45000;276000
2023-08-25;122.12000;123.13000;121.06000;122.57000;336500
2023-08-24;121.25000;122.70000;121.14000;121.33000;325900
2023-08-23;121.50000;122.47000;120.43000;122.26000;267300
2023-08-22;123.85000;124.19000;122.61000;122.65000;313900
2023-08-21;124.79000;125.33000;122.76000;123.54000;571000
2023-08-18;122.22000;124.32000;121.99000;124.28000;376400
2023-08-17;123.11000;124.62000;123.00000;123.01000;417800
2023-08-16;122.60000;124.02000;121.51000;121.53000;383200
2023-08-15;124.11000;124.29000;122.34000;122.50000;436800
2023-08-14;125.32000;125.61000;124.21000;125.09000;540200
2023-08-11;123.87000;125.88000;123.79000;125.68000;513600
2023-08-10;124.22000;125.44000;123.05000;123.91000;426100
2023-08-09;123.56000;125.29000;123.00000;124.07000;517500
2023-08-08;120.23000;122.54000;118.98000;122.51000;352600
2023-08-07;122.12000;122.56000;121.43000;121.81000;270800
2023-08-04;122.16000;123.47000;121.55000;121.59000;327800
2023-08-03;120.32000;122.51000;119.75000;121.43000;419200
2023-08-02;120.83000;121.33000;119.00000;120.10000;347900
2023-08-01;121.58000;121.91000;120.33000;121.66000;410300
2023-07-31;120.99000;122.50000;120.77000;122.25000;398000
2023-07-28;119.41000;119.98000;118.18000;119.87000;282500
2023-07-27;120.82000;121.27000;118.99000;119.29000;1179400
2023-07-26;119.05000;120.60000;118.93000;120.15000;686200
2023-07-25;119.15000;120.76000;118.71000;120.17000;483900
2023-07-24;118.10000;120.31000;118.10000;119.46000;517100
2023-07-21;117.06000;117.61000;116.52000;117.57000;396700
2023-07-20;116.33000;116.89000;115.69000;116.64000;500000
2023-07-19;114.86000;116.17000;114.63000;115.35000;1335300
2023-07-18;113.23000;115.86000;113.06000;114.84000;689400
2023-07-17;113.01000;113.83000;112.68000;113.39000;1770800
2023-07-14;115.90000;115.90000;113.16000;113.39000;1897800
2023-07-13;116.87000;117.73000;115.56000;116.44000;473000
2023-07-12;116.93000;117.63000;116.26000;116.90000;536100
2023-07-11;113.94000;116.12000;113.84000;115.97000;826000
2023-07-10;112.31000;113.57000;112.23000;113.40000;289900
2023-07-07;109.56000;113.55000;109.49000;112.60000;374900
2023-07-06;111.46000;112.15000;109.14000;110.08000;513500
2023-07-05;113.97000;113.97000;112.06000;112.68000;997900
2023-07-03;113.10000;114.01000;112.83000;113.25000;242500
2023-06-30;112.83000;113.48000;112.05000;112.89000;407100
2023-06-29;111.09000;112.13000;110.70000;112.13000;341000
2023-06-28;110.56000;111.79000;109.49000;111.64000;408400
2023-06-27;110.06000;111.04000;109.47000;110.61000;386000
2023-06-26;108.30000;110.94000;108.30000;110.20000;416400
2023-06-23;108.04000;108.70000;107.63000;108.41000;482200
2023-06-22;109.63000;109.82000;108.85000;109.37000;410400
2023-06-21;109.43000;111.69000;109.36000;110.83000;363900
