datetime,open,high,low,close,volume
2023-10-20,94.86,95.0,91.48,92.98,65400
2023-10-19,94.4,96.1,93.14,94.96,50300
2023-10-18,96.07,96.74,94.83,95.24,74600
2023-10-17,93.24,96.07,93.24,95.59,65200
2023-10-16,94.8,94.8,93.0,93.71,80400
2023-10-13,94.43,95.0,93.3,94.31,75200
2023-10-12,94.86,94.92,91.73,92.64,115400
2023-10-11,92.57,93.76,91.59,93.72,91100
2023-10-10,93.03,93.53,92.4,93.04,138600
2023-10-09,91.34,93.31,91.33,92.79,130600
2023-10-06,87.79,89.82,86.93,88.91,107200
2023-10-05,87.32,89.15,87.04,87.65,260000
2023-10-04,91.79,91.79,87.85,88.32,414900
2023-10-03,92.02,93.0,91.58,92.83,190400
2023-10-02,95.9,95.9,91.89,92.57,394200
2023-09-29,98.61,98.61,95.29,95.78,343100
2023-09-28,99.02,99.34,97.56,98.27,190200
2023-09-27,97.05,99.71,96.79,99.21,137100
2023-09-26,95.39,96.49,95.2,95.59,184500
2023-09-25,94.64,96.75,94.33,96.41,149400
2023-09-22,95.04,95.82,94.67,94.93,138500
2023-09-21,96.15,96.15,94.11,94.14,86700
2023-09-20,96.0,97.95,95.91,95.98,109100
2023-09-19,99.61,100.0,96.08,96.31,199400
2023-09-18,98.75,99.55,98.15,98.65,106000
2023-09-15,99.08,99.6,97.89,98.5,205000
2023-09-14,99.14,99.79,98.89,99.27,187300
2023-09-13,100.0,100.27,97.34,97.67,227700
2023-09-12,98.32,100.81,98.32,99.83,125900
2023-09-11,98.13,98.48,97.21,97.55,159800
2023-09-08,96.68,98.12,96.54,97.26,67000
2023-09-07,96.66,97.36,95.78,96.57,70200
2023-09-06,96.49,97.94,95.85,96.99,200000
2023-09-05,97.18,98.84,96.7,96.7,171800
2023-09-01,94.51,96.76,94.47,96.04,131700
2023-08-31,93.37,93.37,91.96,93.0,100800
2023-08-30,92.42,93.64,92.23,92.84,56000
2023-08-29,91.34,92.75,90.78,92.15,61200
2023-08-28,90.47,92.29,90.45,91.38,74500
2023-08-25,90.98,91.01,89.43,90.24,45700
2023-08-24,90.51,91.71,90.12,90.12,115400
2023-08-23,89.52,91.85,88.73,91.39,140500
2023-08-22,91.7,91.82,90.51,90.69,60200
2023-08-21,92.98,93.48,90.77,91.72,47200
2023-08-18,89.97,92.63,89.7,92.38,76600
2023-08-17,92.86,93.17,90.9,91.01,88800
2023-08-16,91.68,93.27,91.37,91.48,119200
2023-08-15,92.7,92.7,91.42,91.87,75600
2023-08-14,94.11,94.11,92.94,93.53,93800
2023-08-11,93.73,95.29,93.73,94.64,102300
2023-08-10,94.48,95.52,93.07,93.78,241100
2023-08-09,94.12,96.38,94.12,94.45,135500
2023-08-08,90.73,93.45,89.86,93.45,75500
2023-08-07,94.18,94.29,92.16,92.93,102900
2023-08-04,94.45,95.11,93.68,93.9,101300
2023-08-03,92.9,95.04,92.9,94.23,199800
2023-08-02,93.23,93.52,91.58,93.02,141300
2023-08-01,93.68,94.06,92.35,94.06,165500
2023-07-31,93.28,94.7,93.28,94.37,111700
2023-07-28,91.43,92.6,90.72,92.49,140000
2023-07-27,92.87,93.37,90.71,91.04,80700
2023-07-26,91.81,93.0,91.0,92.61,76600
2023-07-25,91.62,92.94,91.0,92.37,86400
2023-07-24,89.76,92.19,89.76,91.74,158800
2023-07-21,89.37,89.77,88.49,89.64,54700
2023-07-20,90.44,90.68,88.72,89.48,45700
2023-07-19,89.91,91.06,89.51,90.21,137900
2023-07-18,88.05,91.07,88.05,90.22,148000
2023-07-17,85.88,88.25,85.87,87.77,72400
2023-07-14,87.93,87.93,86.35,86.68,80100
2023-07-13,87.67,88.81,87.3,88.27,84400
2023-07-12,88.13,88.3,87.05,87.6,118500
2023-07-11,84.84,87.29,84.53,87.0,87200
2023-07-10,83.33,84.7,83.08,84.53,78700
2023-07-07,77.84,84.12,77.84,83.6,147100
2023-07-06,78.17,78.97,76.25,78.15,69000
