datetime,open,high,low,close,volume
2023-11-01,23.65,23.65,23.49,23.64,29577
2023-10-31,23.49,23.6,23.25,23.56,708700
2023-10-30,23.48,23.65,23.25,23.48,660000
2023-10-27,23.88,23.97,23.325,23.41,847800
2023-10-26,23.87,24.0,23.64,23.9,956900
2023-10-25,24.12,24.26,23.96,24.09,533500
2023-10-24,24.54,24.54,24.13,24.13,804000
2023-10-23,24.64,24.7,24.33,24.45,695000
2023-10-20,25.23,25.3,24.75,24.84,795500
2023-10-19,25.2,25.46,24.97,25.26,774800
2023-10-18,25.22,25.41,25.15,25.3,780800
2023-10-17,24.79,25.18,24.79,25.11,499700
2023-10-16,24.89,24.9,24.61,24.85,945700
2023-10-13,24.53,24.82,24.48,24.7,413000
2023-10-12,24.4,24.43,24.05,24.18,626300
2023-10-11,24.17,24.18,23.85,24.17,793000
2023-10-10,24.44,24.61,24.31,24.44,602900
2023-10-09,24.25,24.51,24.09,24.41,783400
2023-10-06,23.45,23.8,23.18,23.59,800100
2023-10-05,23.26,23.64,23.25,23.45,879500
2023-10-04,24.0,24.02,23.34,23.54,893600
2023-10-03,24.26,24.41,24.12,24.36,739900
2023-10-02,24.88,24.91,24.2,24.37,883300
2023-09-29,25.41,25.41,24.82,24.91,528900
2023-09-28,25.34,25.55,25.22,25.41,679600
2023-09-27,25.05,25.47,24.97,25.37,545400
2023-09-26,24.67,24.88,24.63,24.72,476300
2023-09-25,24.5,24.91,24.5,24.88,456400
2023-09-22,24.65,24.85,24.52,24.56,492000
2023-09-21,24.96,25.05,24.46,24.5,532700
2023-09-20,24.95,25.22,24.83,24.84,426700
2023-09-19,25.48,25.51,24.93,25.07,636000
2023-09-18,25.38,25.44,25.15,25.3,381800
2023-09-15,25.36,25.5,25.13,25.16,294200
2023-09-14,25.63,25.75,25.56,25.66,600700
2023-09-13,25.6,25.64,25.22,25.34,354300
2023-09-12,25.21,25.59,25.2,25.54,391100
2023-09-11,25.46,25.54,24.86,24.97,494700
2023-09-08,25.19,25.47,25.19,25.31,333100
2023-09-07,25.07,25.26,25.01,25.06,376000
2023-09-06,25.06,25.24,24.91,25.1,895000
2023-09-05,25.15,25.36,25.09,25.09,554900
2023-09-01,24.75,25.04,24.73,25.0,560800
2023-08-31,24.56,24.56,24.33,24.49,269700
2023-08-30,24.42,24.52,24.36,24.47,510000
2023-08-29,24.33,24.36,24.08,24.33,345400
2023-08-28,24.15,24.41,24.12,24.25,561100
2023-08-25,23.99,24.2,23.79,24.06,467600
2023-08-24,23.8,24.1,23.8,23.84,297800
2023-08-23,23.87,24.06,23.65,24.02,568900
2023-08-22,24.3,24.39,24.1,24.11,421400
2023-08-21,24.53,24.61,24.11,24.29,349100
2023-08-18,24.03,24.43,23.95,24.4,646000
2023-08-17,24.16,24.48,24.16,24.18,757800
2023-08-16,24.07,24.35,23.87,23.89,409500
2023-08-15,24.41,24.43,24.04,24.08,601200
2023-08-14,24.62,24.67,24.41,24.58,913300
2023-08-11,24.34,24.73,24.32,24.71,459700
2023-08-10,24.42,24.65,24.19,24.34,789100
2023-08-09,24.28,24.61,24.17,24.37,772000
2023-08-08,23.59,24.07,23.37,24.06,486900
2023-08-07,24.01,24.07,23.86,23.94,393700
2023-08-04,24.01,24.25,23.88,23.89,737200
2023-08-03,23.65,24.06,23.52,23.86,611700
2023-08-02,23.77,23.83,23.38,23.59,633900
2023-08-01,23.9,23.95,23.64,23.89,529700
2023-07-31,23.73,24.06,23.73,24.01,870500
2023-07-28,23.45,23.56,23.19,23.56,465300
2023-07-27,23.74,23.82,23.37,23.43,719500
2023-07-26,23.42,23.68,23.36,23.6,516600
2023-07-25,23.43,23.72,23.31,23.6,901000
2023-07-24,23.19,23.63,23.19,23.46,771000
