datetime,open,high,low,close,volume
2023-10-31,85.01,85.37,84.16,85.19,18599258
2023-10-30,84.93,85.54,84.09,84.91,22765300
2023-10-27,86.62,86.95,84.34,84.63,26900900
2023-10-26,86.59,87.11,85.85,86.71,22385200
2023-10-25,87.61,88.06,86.95,87.39,20706300
2023-10-24,89.02,89.09,87.52,87.55,22135800
2023-10-23,89.74,89.75,88.39,88.8,25944100
2023-10-20,91.64,91.98,89.95,90.26,23263400
2023-10-19,91.64,92.56,90.77,91.8,31648500
2023-10-18,91.5,92.34,91.29,91.96,23808400
2023-10-17,89.99,91.41,89.86,91.13,20212000
2023-10-16,90.17,90.46,89.33,90.19,19182600
2023-10-13,89.09,90.02,88.71,89.59,24255900
2023-10-12,88.49,88.57,87.25,87.66,19993200
2023-10-11,87.79,87.88,86.55,87.56,23572700
2023-10-10,88.67,89.29,88.17,88.7,20850300
2023-10-09,88.03,88.96,87.4,88.59,30744500
2023-10-06,85.22,86.51,84.26,85.73,25728200
2023-10-05,84.52,85.97,84.52,85.22,23518500
2023-10-04,87.21,87.36,84.91,85.75,29786200
2023-10-03,88.38,88.7,87.66,88.53,20733300
2023-10-02,90.27,90.51,87.98,88.59,25299900
2023-09-29,92.11,92.47,90.05,90.39,24181800
2023-09-28,91.75,92.79,91.54,92.25,24231400
2023-09-27,91.03,92.41,90.63,92.15,23144700
2023-09-26,89.65,90.45,89.51,89.91,16730000
2023-09-25,89.07,90.57,89.07,90.43,17536900
2023-09-22,89.83,90.43,89.23,89.31,21033700
2023-09-21,91.02,91.23,89.01,89.16,21693700
2023-09-20,90.8,91.83,90.34,90.4,17965200
2023-09-19,92.8,92.93,90.71,91.25,18132200
2023-09-18,92.28,92.55,91.43,92.11,16873300
2023-09-15,92.5,93.41,92.01,92.01,24797800
2023-09-14,93.24,93.69,92.96,93.36,18549900
2023-09-13,93.07,93.26,91.8,92.28,18157700
2023-09-12,91.82,93.08,91.65,92.98,26799700
2023-09-11,92.72,93.0,90.47,90.84,22047500
2023-09-08,91.6,92.71,91.55,92.05,17369500
2023-09-07,91.44,91.91,91.01,91.17,15364600
2023-09-06,91.04,91.75,90.59,91.26,20162100
2023-09-05,91.25,92.15,91.16,91.22,24368700
2023-09-01,89.9,90.84,89.88,90.74,17878100
2023-08-31,89.19,89.34,88.28,88.92,14808700
2023-08-30,88.82,89.02,88.47,88.86,13945100
2023-08-29,88.5,88.51,87.54,88.42,13509700
2023-08-28,87.82,88.84,87.67,88.18,12859100
2023-08-25,87.27,88.03,86.51,87.59,19018400
2023-08-24,86.56,87.67,86.5,86.75,16727500
2023-08-23,86.62,87.43,85.87,87.35,19399300
2023-08-22,88.36,88.67,87.52,87.57,12869700
2023-08-21,89.17,89.53,87.64,88.25,15244200
2023-08-18,87.43,88.92,87.15,88.81,17651900
2023-08-17,88.12,89.14,87.81,87.94,20232100
2023-08-16,87.75,88.7,86.84,86.9,18997700
2023-08-15,88.9,89.0,87.5,87.66,22491200
2023-08-14,89.65,89.89,88.92,89.52,15094700
2023-08-11,88.5,90.0,88.48,89.9,23335000
2023-08-10,88.68,89.69,87.94,88.54,19613300
2023-08-09,88.3,89.36,87.75,88.55,26042800
2023-08-08,85.61,87.49,84.97,87.45,18618600
2023-08-07,87.41,87.59,86.76,87.02,13410800
2023-08-04,87.42,88.24,86.82,86.92,21595300
2023-08-03,86.16,87.58,85.69,86.8,20815300
2023-08-02,86.48,86.92,85.2,85.93,22960000
2023-08-01,87.13,87.32,86.13,87.07,17883000
2023-07-31,86.6,87.73,86.35,87.48,18133200
2023-07-28,85.53,85.87,84.6,85.85,17313900
2023-07-27,86.61,86.96,85.35,85.59,17775300
2023-07-26,85.4,86.48,85.28,86.14,16394000
