datetime,open,high,low,close,volume
2023-11-01,20.91,21.13,20.865,21.12,8909200
2023-10-31,20.65,20.75,20.58,20.74,1594500
2023-10-30,20.79,20.85,20.67,20.8,2264500
2023-10-27,20.74,20.77,20.46,20.55,2951100
2023-10-26,20.66,20.73,20.51,20.61,3405900
2023-10-25,20.76,20.85,20.64,20.65,3189600
2023-10-24,20.86,20.97,20.8,20.92,2631200
2023-10-23,20.6,20.84,20.51,20.67,3221500
2023-10-20,20.8,20.83,20.61,20.63,2051000
2023-10-19,21.05,21.22,20.94,20.99,4194500
2023-10-18,21.45,21.47,21.2,21.23,2861400
2023-10-17,21.33,21.67,21.32,21.58,1526100
2023-10-16,21.3,21.5,21.25,21.49,843300
2023-10-13,21.28,21.37,21.09,21.16,3411600
2023-10-12,21.61,21.61,21.15,21.22,3174900
2023-10-11,21.79,21.83,21.58,21.73,1512100
2023-10-10,21.58,21.78,21.56,21.73,2457400
2023-10-09,21.21,21.49,21.2,21.46,1510100
2023-10-06,21.09,21.5,20.97,21.42,1547900
2023-10-05,20.97,21.14,20.95,21.09,2369500
2023-10-04,20.91,20.93,20.69,20.9,1527200
2023-10-03,20.86,20.97,20.71,20.79,1436600
2023-10-02,21.32,21.34,21.01,21.07,3044700
2023-09-29,21.89,21.9,21.47,21.51,1635800
2023-09-28,21.39,21.7,21.35,21.63,1440000
2023-09-27,21.42,21.44,21.11,21.25,2527800
2023-09-26,21.49,21.58,21.34,21.34,2408200
2023-09-25,21.53,21.65,21.48,21.62,1974000
2023-09-22,21.75,21.82,21.62,21.64,1239700
2023-09-21,21.55,21.59,21.35,21.35,1983900
2023-09-20,22.23,22.4,22.04,22.05,1146700
2023-09-19,22.24,22.29,22.11,22.16,1128900
2023-09-18,22.2,22.2,22.07,22.17,4414900
2023-09-15,22.37,22.43,22.23,22.24,1868900
2023-09-14,22.2,22.37,22.16,22.33,1625200
2023-09-13,21.93,21.99,21.83,21.9,962200
2023-09-12,21.97,22.09,21.97,22.0,658300
2023-09-11,22.14,22.18,22.02,22.05,1146100
2023-09-08,21.72,21.81,21.67,21.7,957900
2023-09-07,21.78,21.83,21.66,21.75,970600
2023-09-06,21.96,22.02,21.78,21.86,1822000
2023-09-05,22.14,22.17,22.04,22.05,1172600
2023-09-01,22.36,22.4,22.12,22.25,1417600
2023-08-31,22.32,22.35,22.16,22.21,1606400
2023-08-30,22.35,22.44,22.21,22.25,2121100
2023-08-29,21.7,22.12,21.68,22.12,1351300
2023-08-28,21.63,21.73,21.63,21.71,881400
2023-08-25,21.53,21.66,21.3,21.52,2463100
2023-08-24,21.57,21.65,21.36,21.36,2482500
2023-08-23,21.53,21.78,21.53,21.75,1889000
