datetime,open,high,low,close,volume
2023-11-01,28.1,28.33,27.605,28.11,29489522
2023-10-31,28.62,28.85,27.79,28.01,30992600
2023-10-30,29.25,29.36,28.7,28.77,21899300
2023-10-27,28.64,29.22,28.32,29.2,31547300
2023-10-26,28.71,28.88,28.09,28.52,37274000
2023-10-25,29.11,29.51,28.76,28.78,21062700
2023-10-24,28.91,29.38,28.88,29.26,13488300
2023-10-23,29.26,29.53,28.71,29.24,16690200
2023-10-20,29.6,30.16,29.47,29.48,29692900
2023-10-19,29.45,29.59,29.0,29.51,24517100
2023-10-18,29.98,30.07,29.27,29.45,23181100
2023-10-17,28.98,29.57,28.83,29.53,17620000
2023-10-16,28.86,29.19,28.64,29.0,16394500
2023-10-13,28.69,29.11,28.47,28.95,34493700
2023-10-12,28.32,28.42,27.59,27.74,22359700
2023-10-11,28.22,28.34,27.95,28.32,22283500
2023-10-10,27.67,27.87,27.48,27.81,18948800
2023-10-09,27.36,27.6,27.26,27.54,23042900
2023-10-06,26.36,27.1,26.26,26.89,25553400
2023-10-05,25.89,26.33,25.88,26.32,15613200
2023-10-04,26.13,26.17,25.62,25.91,17971600
2023-10-03,25.91,26.28,25.68,26.07,25713100
2023-10-02,26.56,26.56,25.89,25.99,28436800
2023-09-29,27.46,27.59,26.66,26.91,23082300
2023-09-28,26.87,27.08,26.62,27.05,28477300
2023-09-27,27.56,27.6,26.66,26.91,33534700
2023-09-26,28.26,28.33,27.74,27.74,18917000
2023-09-25,28.77,28.79,28.26,28.51,16134800
2023-09-22,29.15,29.42,28.85,28.87,15052500
2023-09-21,29.09,29.25,28.79,28.91,23901400
2023-09-20,29.46,30.13,29.44,29.71,21914100
2023-09-19,29.84,29.86,29.31,29.4,13151200
2023-09-18,29.64,29.86,29.36,29.75,11024000
2023-09-15,29.42,29.89,29.4,29.72,24754900
2023-09-14,28.75,29.35,28.74,29.11,15558600
2023-09-13,28.8,28.98,28.58,28.72,10508900
2023-09-12,28.4,29.04,28.38,28.79,9549600
2023-09-11,28.76,28.96,28.6,28.77,13542800
2023-09-08,28.39,28.81,28.28,28.34,17249500
2023-09-07,28.41,28.46,28.16,28.28,13897200
2023-09-06,28.33,28.74,28.24,28.47,14809700
2023-09-05,28.82,29.03,28.37,28.49,19547900
2023-09-01,29.66,29.85,29.06,29.09,20820200
2023-08-31,29.52,29.63,29.04,29.26,16439500
2023-08-30,29.78,30.0,29.41,29.52,14524000
2023-08-29,28.89,29.53,28.82,29.53,19623200
2023-08-28,28.54,29.13,28.42,29.0,18153900
2023-08-25,28.62,28.85,28.02,28.4,15352000
2023-08-24,28.65,28.97,28.28,28.68,17080700
2023-08-23,28.26,28.95,28.2,28.74,30561300
2023-08-22,27.82,27.96,27.53,27.95,13734400
2023-08-21,27.61,27.75,27.28,27.71,18225600
2023-08-18,27.63,27.63,27.3,27.45,18330600
2023-08-17,27.89,27.98,27.45,27.61,16121500
2023-08-16,28.2,28.24,27.82,27.83,13524200
2023-08-15,28.84,28.86,28.13,28.21,20289800
2023-08-14,29.11,29.13,28.5,28.95,12180400
2023-08-11,29.01,29.5,28.95,29.46,10358500
2023-08-10,29.4,29.61,28.99,29.17,16827500
2023-08-09,29.16,29.36,28.93,29.13,9574700
2023-08-08,28.95,29.22,28.67,29.08,15440700
2023-08-07,29.52,29.56,29.06,29.33,11421000
2023-08-04,29.57,29.81,29.36,29.56,17451900
2023-08-03,29.36,29.57,29.07,29.28,15663200
2023-08-02,30.12,30.18,29.2,29.28,23963800
2023-08-01,30.72,30.87,30.19,30.23,23841400
2023-07-31,30.97,31.75,30.93,31.41,19185800
2023-07-28,30.72,30.86,30.48,30.72,18505800
2023-07-27,31.37,31.39,30.33,30.35,38582400
2023-07-26,31.83,31.83,31.34,31.65,14698500
2023-07-25,31.4,31.89,31.3,31.78,14009400
2023-07-24,31.46,31.6,31.01,31.29,10810300
2023-07-21,31.2,31.57,31.04,31.49,12283400
2023-07-20,32.08,32.21,31.36,31.39,22811500
2023-07-19,32.44,32.57,32.23,32.36,9273300
2023-07-18,32.37,32.92,32.1,32.63,20921500
2023-07-17,31.71,32.11,31.48,31.97,9777900
2023-07-14,32.11,32.4,31.9,31.96,15315200
2023-07-13,32.17,32.26,31.94,32.19,19564800
2023-07-12,30.83,31.95,30.82,31.82,44179100
2023-07-11,30.24,30.47,30.03,30.24,14834000
2023-07-10,29.31,30.15,29.26,30.04,24983300
2023-07-07,29.3,29.82,29.25,29.45,16730400
2023-07-06,29.64,29.66,28.91,29.07,29161500
2023-07-05,30.73,30.77,29.81,29.83,22271400
2023-07-03,30.25,30.77,30.17,30.69,17734800
2023-06-30,29.72,30.13,29.5,30.11,20728900
2023-06-29,28.9,29.62,28.76,29.62,17501700
2023-06-28,29.41,29.58,29.17,29.22,25956600
2023-06-27,30.12,30.18,29.37,29.65,23419500
2023-06-26,29.91,30.3,29.65,30.07,14255700
2023-06-23,30.13,30.34,29.7,29.79,15039400
2023-06-22,29.6,29.92,29.53,29.85,18070900
2023-06-21,30.0,30.26,29.62,30.06,16163900
2023-06-20,30.83,30.86,30.13,30.14,28348000
2023-06-16,31.2,31.74,30.9,31.39,19283100
2023-06-15,30.77,31.04,30.53,31.0,18198300
2023-06-14,31.26,31.48,30.53,30.87,15747200
2023-06-13,31.43,31.64,30.8,30.89,17547600
2023-06-12,31.03,31.25,30.78,31.24,10282800
2023-06-09,31.47,31.55,31.07,31.08,12657800
2023-06-08,31.55,31.87,31.4,31.54,18419900
2023-06-07,31.7,32.24,30.93,31.05,23061300
2023-06-06,31.65,31.7,31.24,31.63,11372900
2023-06-05,31.26,31.77,31.22,31.56,12300700
2023-06-02,32.06,32.25,31.21,31.41,26592200
2023-06-01,31.08,32.29,31.03,32.01,32224600
2023-05-31,30.31,31.25,30.25,30.91,35961000
2023-05-30,30.45,30.58,30.11,30.2,23317600
2023-05-26,30.69,30.8,30.16,30.41,16912800
2023-05-25,30.65,30.66,30.18,30.26,21432500
2023-05-24,31.81,31.82,30.82,30.92,23978700
2023-05-23,31.7,31.94,31.54,31.65,13619000
2023-05-22,32.08,32.23,31.87,31.87,13003800
2023-05-19,32.06,32.58,31.74,32.16,18815300
2023-05-18,32.17,32.22,31.48,31.88,31404600
2023-05-17,33.0,33.02,32.49,32.73,19201300
2023-05-16,33.77,33.87,32.81,33.01,25027400
2023-05-15,33.78,34.17,33.71,33.91,13341900
2023-05-12,33.5,33.76,33.3,33.6,17352600
2023-05-11,34.68,34.68,33.52,33.52,31069300
2023-05-10,35.3,35.35,34.56,35.0,21045500
2023-05-09,35.28,35.53,35.09,35.25,9795800
2023-05-08,35.49,35.81,35.16,35.36,12247900
2023-05-05,34.62,35.59,34.52,35.4,22247900
2023-05-04,35.13,36.26,35.1,35.69,35165200
2023-05-03,34.64,35.16,34.52,34.86,23335800
2023-05-02,33.42,34.78,33.34,34.74,34821200
2023-05-01,34.15,34.3,33.37,33.41,13286700
2023-04-28,33.79,33.92,33.31,33.58,17740100
2023-04-27,33.24,33.88,33.06,33.85,16943200
2023-04-26,34.17,34.22,33.25,33.33,14899900
2023-04-25,33.6,33.92,33.24,33.77,14439600
2023-04-24,33.55,33.89,33.35,33.71,15115500
2023-04-21,33.74,34.07,33.29,33.61,23140500
2023-04-20,34.31,34.63,33.97,34.06,15975600
2023-04-19,33.93,34.38,33.83,34.08,27055300
2023-04-18,34.41,35.19,34.38,34.55,25445800
2023-04-17,34.67,34.83,34.07,34.3,25510100
2023-04-14,35.37,35.58,34.38,35.09,34129100
2023-04-13,35.48,36.1,35.43,35.87,28524900
2023-04-12,35.13,35.24,34.46,34.92,20592200
2023-04-11,34.24,35.03,34.24,34.58,21024200
2023-04-10,33.97,34.04,33.67,33.99,20707900
2023-04-06,34.2,34.51,33.77,34.43,16111400
2023-04-05,34.52,34.7,33.84,34.34,27676300
2023-04-04,33.11,34.28,32.92,34.19,38919700
2023-04-03,32.5,33.29,32.24,33.08,32416400
2023-03-31,32.62,32.73,32.09,32.35,18447500
2023-03-30,32.36,32.63,32.11,32.52,18704200
2023-03-29,32.02,32.37,31.88,32.04,17267900
2023-03-28,31.7,32.35,31.43,32.31,24621900
