datetime,open,high,low,close,volume
2023-11-01,183.91,185.0,182.67,183.5,8647436
2023-10-31,185.08,186.21001,183.5,184.09,10102600
2023-10-30,185.53999,185.7,184.73,185.10001,8756400
2023-10-27,183.75999,186.36,183.47,186.14999,14095600
2023-10-26,183.39999,184.49001,182.87,184.00999,7671400
2023-10-25,183.42,184.3,182.03999,183.72,10087000
2023-10-24,182.07001,183.39999,181.67999,182.95,6594000
2023-10-23,183.50999,183.56,182.71001,182.97,9479800
2023-10-20,183.42999,185.23,183.09,183.59,12782800
2023-10-19,181.03999,183.42999,180.82001,183.09,13406600
2023-10-18,180.89,182.02,179.75,180.87,13920800
2023-10-17,178.37,179.13,177.98,178.28999,8231900
2023-10-16,177.84,178.33,177.53999,177.96001,8385400
2023-10-13,176.89,179.10001,176.72,178.83,18796500
2023-10-12,174.06,174.23,173.24001,173.25999,5912700
2023-10-11,173.60001,174.13,173.25999,173.78999,7128000
2023-10-10,172.08,172.8,171.89999,172.53,5844000
2023-10-09,171.17999,172.86,171.08,172.82001,10201500
2023-10-06,169.17,170.23,168.5,169.7,9942200
2023-10-05,168.74001,169.0,168.3,168.83,6970200
2023-10-04,169.21001,169.41,168.5,169.14,10034600
2023-10-03,169.14,170.08,168.75,169.16,11459800
2023-10-02,170.23,170.46001,169.5,169.64999,12706000
2023-09-29,173.92,174.03,171.27,171.45,10424900
2023-09-28,173.91,174.14,172.32001,173.23,10061900
2023-09-27,175.27,175.32001,173.7,174.10001,10919600
2023-09-26,176.83,177.14,176.16,176.28,7181100
2023-09-25,178.41,178.71001,177.64,177.7,5582100
2023-09-22,178.64999,178.95,178.50999,178.62,3634800
2023-09-21,177.86,178.49001,177.69,178.05,7571900
2023-09-20,179.34,180.66,179.32001,179.35001,9328000
2023-09-19,179.53999,179.64999,179.03,179.22,4224700
2023-09-18,178.82001,179.41,178.38,179.39,5049300
2023-09-15,178.55,179.11,178.34,178.34,5619600
2023-09-14,176.5,177.39,176.36,177.17,6184400
2023-09-13,177.53,177.75,177.03999,177.08,3874800
2023-09-12,177.11,177.7,177.05,177.49001,4445400
2023-09-11,178.97,179.07001,178.25999,178.41,3689100
2023-09-08,178.36,179.05,177.89999,178.08,3292700
2023-09-07,178.31,178.37,177.89999,178.02,3257200
2023-09-06,178.33,179.00999,177.7,177.83,6427200
2023-09-05,179.33,179.44,178.64,178.64,7056800
2023-09-01,180.8,181.12,179.50999,180.11,4969300
2023-08-31,180.37,180.49001,179.94,180.02,4795600
2023-08-30,180.58,180.88,180.28999,180.32001,6593700
2023-08-29,178.03,179.88,177.89999,179.87,7576600
2023-08-28,177.64999,178.73,177.50999,178.13,4740700
2023-08-25,177.58,178.38,176.63,177.62,6132800
2023-08-24,177.66,178.49001,177.41,177.85001,5526400
2023-08-23,177.32001,178.22,177.07001,177.89,7949100
2023-08-22,175.83,176.25,175.31,176.10001,5892500
2023-08-21,175.89999,175.94,174.96001,175.81,4206400
2023-08-18,175.83,176.06,175.10001,175.33,6251000
2023-08-17,176.53,176.56,174.92999,175.3,7937700
