datetime,open,high,low,close,volume
2023-11-01,168.03,169.05,167.845,169.05,663
2023-10-31,166.88,167.89,166.88,167.89,6900
2023-10-30,165.59,166.78999,164.98,166.78999,1400
2023-10-27,164.72,165.3642,163.58,164.16,2400
2023-10-26,163.72,164.14391,162.97,162.97,24800
2023-10-25,165.00999,165.00999,163.69,163.75999,52400
2023-10-24,165.75,166.0,165.25999,165.75999,2100
2023-10-23,164.0,165.69,164.0,164.75999,1800
2023-10-20,165.42,165.73,164.89999,164.89999,2500
2023-10-19,167.96001,168.84,166.89999,166.89999,1200
2023-10-18,169.21001,169.21001,168.25999,168.53,5700
2023-10-17,169.41,170.57001,169.41,170.57001,1100
2023-10-16,170.72,170.73,170.53,170.60001,1100
2023-10-13,168.35001,168.38,167.81,168.14999,3000
2023-10-12,169.08,169.08,167.39999,168.28,3300
2023-10-11,169.39999,169.48,167.99001,169.48,3400
2023-10-10,167.12,169.60001,167.12,168.64,11700
2023-10-09,164.78999,166.87,164.78999,166.87,1100
2023-10-06,163.0,166.28,163.0,166.00999,2000
2023-10-05,166.32001,166.32001,165.03,165.92999,1900
2023-10-04,165.72,166.35001,165.17,166.11,2200
2023-10-03,166.86,166.86,164.59,164.87,2500
2023-10-02,168.0,168.13,167.31,167.92,2500
2023-09-29,168.57001,168.81,167.66,167.87,4100
2023-09-28,166.88,167.95,166.88,167.95,2400
2023-09-27,167.45,167.45,165.92,166.94,3100
2023-09-26,169.46001,169.46001,167.25,167.25,7000
2023-09-25,169.39,170.73,169.39,170.73,2200
2023-09-22,170.78999,170.91,169.67,169.67,1800
2023-09-21,172.13,172.13,170.08,170.08,1600
2023-09-20,174.67999,174.67999,173.41,173.41,2100
2023-09-19,173.33,174.03999,173.14999,174.03999,1400
2023-09-18,175.82001,175.82001,174.75,174.8,2600
2023-09-15,176.50999,176.50999,175.75999,175.81,1200
2023-09-14,177.98,178.42,177.98,178.03999,900
2023-09-13,176.95,177.5,176.89,177.5,1600
2023-09-12,177.03999,177.03999,176.60001,176.82001,1100
2023-09-11,176.12,177.71001,176.12,177.37,3200
2023-09-08,176.0,176.16,175.86,175.98,1900
2023-09-07,173.63,175.59,173.63,175.56,2200
2023-09-06,174.49001,175.17999,174.3,174.3,7800
2023-09-05,176.25,176.25,175.0,175.0,4000
2023-09-01,177.12,177.59,176.05,176.28999,6600
2023-08-31,175.7,176.82001,175.7,176.19,9900
2023-08-30,176.08,176.55,176.02,176.42,8300
2023-08-29,174.10001,175.88,174.10001,175.88,21600
2023-08-28,173.39,173.8,173.14999,173.8,1400
2023-08-25,172.0,172.75999,172.0,172.75999,3900
2023-08-24,175.02,175.02,172.19,172.19,8600
2023-08-23,174.24001,175.55,174.24001,175.35001,19900
2023-08-22,175.42,175.42,174.16,174.27,2800
2023-08-21,175.17,175.5,174.72,175.34,2100
2023-08-18,173.85001,175.64999,173.85001,175.17,7500
2023-08-17,177.44,177.55,174.71001,174.71001,3700
2023-08-16,178.99001,179.83,177.97,177.97,19500
2023-08-15,180.39999,180.39999,178.61,178.78,7600
2023-08-14,179.95,180.67999,179.86,180.50999,2200
2023-08-11,179.55,180.08,179.19,180.03,32000
2023-08-10,181.25999,181.86,179.92999,179.92999,4000
2023-08-09,179.99001,180.3,179.03,179.38,6400
2023-08-08,179.50999,179.81,178.50999,179.67999,3200
2023-08-07,180.03,181.0,179.8,181.0,3600
2023-08-04,181.2,181.31,179.23,179.35001,2700
2023-08-03,177.11,178.24001,177.11,178.10001,3300
2023-08-02,177.17999,177.78,177.17999,177.23,1700
2023-08-01,179.63,179.63,178.52,178.67,5000
2023-07-31,180.0,180.17,179.3,179.88,2800
2023-07-28,178.39,179.25999,178.39,179.25,1000
2023-07-27,179.49001,179.49001,177.11,177.25,3800
2023-07-26,176.61,178.45,176.61,178.06,2800
2023-07-25,178.23,178.23,177.62,178.17,5200
2023-07-24,177.28999,178.13,177.28999,178.10001,1600
2023-07-21,177.7,177.71001,177.10001,177.10001,3900
2023-07-20,177.53999,177.63,177.09,177.19,3400
2023-07-19,177.64,177.87,177.22,177.87,1900
2023-07-18,176.06,176.39,175.64,176.27,6300
2023-07-17,176.13,176.74001,176.13,176.31,3500
2023-07-14,176.56,176.97,176.55,176.55,2000
2023-07-13,177.61,177.61,176.58,176.92,1600
2023-07-12,176.50999,176.50999,176.03999,176.03999,1800
2023-07-11,174.50999,174.89999,174.50999,174.89999,4700
2023-07-10,172.41,173.3,172.41,173.3,2900
2023-07-07,173.21001,173.41,172.53999,172.59,28200
2023-07-06,173.32001,173.32001,172.59,172.59,1800
2023-07-05,174.50999,174.95,174.32001,174.95,4000
2023-07-03,174.60001,175.25999,174.46001,174.91,2000
2023-06-30,173.35001,174.7,173.35001,174.66,3200
2023-06-29,172.52,172.52,172.17999,172.17999,1400
2023-06-28,173.17,173.17999,172.35001,172.53,1900
2023-06-27,172.5,173.69,172.32001,173.27,11100
2023-06-26,171.67,172.81,171.67,172.17999,2900
2023-06-23,172.25999,172.45,171.74001,171.89,1500
2023-06-22,170.67,172.78999,170.67,172.78999,1300
2023-06-21,170.50999,171.11,170.35001,170.35001,3100
2023-06-20,170.38,170.92,170.14,170.52,2200
2023-06-16,173.10001,173.10001,171.25,171.25,6500
2023-06-15,170.36,172.77,170.36,172.77,2300
2023-06-14,170.47,170.86,169.21001,170.36,23500
2023-06-13,170.61,170.8,170.03,170.8,4900
2023-06-12,168.14,169.44,168.14,169.44,1900
2023-06-09,167.50999,167.66,167.31,167.31,2200
2023-06-08,166.56,168.03999,166.56,168.03999,1900
2023-06-07,167.77,167.77,165.91,165.91,1900
2023-06-06,167.49001,167.94,167.49001,167.7,2400
2023-06-05,166.78,167.19,166.74001,167.11,10500
2023-06-02,166.13,167.06,166.13,167.06,2400
2023-06-01,163.25,164.62,162.67999,163.95,4900
2023-05-31,163.83,163.83,162.67,163.74001,2600
2023-05-30,164.45,164.64999,163.78999,164.49001,4000
2023-05-26,163.59,165.49001,163.59,165.19,2100
2023-05-25,163.91,163.91,162.53999,162.53999,3000
2023-05-24,165.16,165.34,164.28,164.72,3400
2023-05-23,165.23,166.44,164.59,164.96001,4700
2023-05-22,167.63,167.63,166.03,166.46001,2100
2023-05-19,169.24001,169.24001,167.3,167.74001,2300
2023-05-18,168.42999,169.48,168.42999,169.48,2000
2023-05-17,166.60001,168.22,166.60001,168.17999,2300
2023-05-16,165.61,166.91,165.61,165.87,1600
2023-05-15,165.89999,166.99001,165.89999,166.99001,6800
2023-05-12,165.58,166.24001,165.58,166.24001,1200
2023-05-11,165.96001,167.03,165.96001,167.03,2700
2023-05-10,165.96001,166.08,165.27,165.91,1600
2023-05-09,164.78999,165.32001,164.78999,165.3,1500
2023-05-08,164.00999,164.28,163.88,164.17999,2800
2023-05-05,162.7,164.5,162.7,164.31,900
2023-05-04,162.78999,162.78999,161.50999,161.78,2500
2023-05-03,163.96001,164.23,162.72,162.75999,16300
2023-05-02,162.92,163.60001,161.71001,163.60001,15400
2023-05-01,164.49001,164.73,163.84,163.86,2800
2023-04-28,165.00999,165.50999,164.86,165.39,3900
2023-04-27,163.89999,166.06,163.89999,166.06,2900
2023-04-26,163.83,163.83,162.56,162.89999,3700
2023-04-25,165.47,165.47,163.11,163.11,3200
2023-04-24,166.21001,166.32001,165.42,166.27,3200
2023-04-21,165.77,166.50999,165.49001,165.88,6200
2023-04-20,163.59,165.17999,163.59,164.78,2900
