datetime,open,high,low,close,volume
2023-11-01,120.63,121.33,119.5,119.68,1275362
2023-10-31,119.65,120.16,118.41,119.94,583800
2023-10-30,119.48,120.39,118.33,119.49,566000
2023-10-27,121.65,122.07,118.73,119.15,2760100
2023-10-26,121.49,122.18,120.35,121.66,441600
2023-10-25,122.83,123.46,121.95,122.56,483500
2023-10-24,124.82,124.82,122.84,122.87,449800
2023-10-23,125.47,125.72,123.87,124.4,476600
2023-10-20,128.49001,128.78999,126.05,126.44,988600
2023-10-19,128.3,129.64,127.17,128.67999,665700
2023-10-18,128.22,129.39999,128.07001,128.78,1196200
2023-10-17,126.07,128.17,126.07,127.77,1075400
2023-10-16,126.41,126.77,125.22,126.41,450100
2023-10-13,125.01,126.37,124.41,125.78,312400
2023-10-12,124.29,124.29,122.43,123.04,295200
2023-10-11,122.63,123.09,121.4,122.97,397800
2023-10-10,124.61,125.24,123.77,124.36,336300
2023-10-09,123.55,124.74,122.62,124.35,513300
2023-10-06,119.18,121.18,117.97,120.07,551700
2023-10-05,118.4,120.37,118.38,119.36,481500
2023-10-04,122.22,122.32,118.85,119.82,996500
2023-10-03,123.73,124.24,122.78,124.02,515500
2023-10-02,126.64,126.86,123.19,124.15,563300
2023-09-29,129.28999,129.28999,126.33,126.74,522500
2023-09-28,128.84,130.07001,128.39,129.3,398400
2023-09-27,128.35001,130.5,127.86,130.03,1021400
2023-09-26,126.65,127.49,126.2,126.78,509800
2023-09-25,125.73,127.64,125.63,127.48,1125500
2023-09-22,126.35,127.35,125.68,125.72,378900
2023-09-21,127.9,128.28999,125.32,125.45,684900
2023-09-20,127.79,129.28999,127.18,127.29,792200
2023-09-19,130.74001,130.78,127.73,128.45,361300
2023-09-18,129.94,130.38,128.86,129.63,506600
2023-09-15,129.75,130.64999,128.75999,128.89,464700
2023-09-14,130.3,131.07001,130.08,130.52,544500
2023-09-13,130.27,130.50999,128.36,129.0,403800
2023-09-12,128.27,130.25999,128.24001,130.05,464500
2023-09-11,129.46001,130.00999,126.57,127.11,1879700
2023-09-08,128.14999,129.62,128.09,128.85001,416900
2023-09-07,127.8,128.60001,127.26,127.53,320200
2023-09-06,127.63,128.46001,126.81,127.72,413400
2023-09-05,128.0,129.08,127.68,127.74,388200
2023-09-01,126.0,127.44,126.0,127.21,533100
2023-08-31,125.03,125.03,123.84,124.63,313000
2023-08-30,124.17,124.81,123.98,124.48,285900
2023-08-29,123.73,124.0,122.53,123.83,396000
2023-08-28,122.92,124.29,122.73,123.45,276000
2023-08-25,122.12,123.13,121.06,122.57,336500
2023-08-24,121.25,122.7,121.14,121.33,325900
2023-08-23,121.5,122.47,120.43,122.26,267300
2023-08-22,123.85,124.19,122.61,122.65,313900
2023-08-21,124.79,125.33,122.76,123.54,571000
2023-08-18,122.22,124.32,121.99,124.28,376400
2023-08-17,123.11,124.62,123.0,123.01,417800
2023-08-16,122.6,124.02,121.51,121.53,383200
2023-08-15,124.11,124.29,122.34,122.5,436800
2023-08-14,125.32,125.61,124.21,125.09,540200
2023-08-11,123.87,125.88,123.79,125.68,513600
2023-08-10,124.22,125.44,123.05,123.91,426100
2023-08-09,123.56,125.29,123.0,124.07,517500
2023-08-08,120.23,122.54,118.98,122.51,352600
2023-08-07,122.12,122.56,121.43,121.81,270800
2023-08-04,122.16,123.47,121.55,121.59,327800
2023-08-03,120.32,122.51,119.75,121.43,419200
2023-08-02,120.83,121.33,119.0,120.1,347900
2023-08-01,121.58,121.91,120.33,121.66,410300
2023-07-31,120.99,122.5,120.77,122.25,398000
2023-07-28,119.41,119.98,118.18,119.87,282500
2023-07-27,120.82,121.27,118.99,119.29,1179400
2023-07-26,119.05,120.6,118.93,120.15,686200
2023-07-25,119.15,120.76,118.71,120.17,483900
2023-07-24,118.1,120.31,118.1,119.46,517100
2023-07-21,117.06,117.61,116.52,117.57,396700
2023-07-20,116.33,116.89,115.69,116.64,500000
2023-07-19,114.86,116.17,114.63,115.35,1335300
2023-07-18,113.23,115.86,113.06,114.84,689400
2023-07-17,113.01,113.83,112.68,113.39,1770800
2023-07-14,115.9,115.9,113.16,113.39,1897800
2023-07-13,116.87,117.73,115.56,116.44,473000
2023-07-12,116.93,117.63,116.26,116.9,536100
2023-07-11,113.94,116.12,113.84,115.97,826000
2023-07-10,112.31,113.57,112.23,113.4,289900
2023-07-07,109.56,113.55,109.49,112.6,374900
2023-07-06,111.46,112.15,109.14,110.08,513500
2023-07-05,113.97,113.97,112.06,112.68,997900
2023-07-03,113.1,114.01,112.83,113.25,242500
2023-06-30,112.83,113.48,112.05,112.89,407100
2023-06-29,111.09,112.13,110.7,112.13,341000
2023-06-28,110.56,111.79,109.49,111.64,408400
2023-06-27,110.06,111.04,109.47,110.61,386000
2023-06-26,108.3,110.94,108.3,110.2,416400
2023-06-23,108.04,108.7,107.63,108.41,482200
2023-06-22,109.63,109.82,108.85,109.37,410400
2023-06-21,109.43,111.69,109.36,110.83,363900
2023-06-20,111.45,111.46,108.98,109.81,678700
2023-06-16,112.82,113.05,111.85,112.24,427700
2023-06-15,111.2,113.16,111.2,112.31,419000
2023-06-14,113.1,113.63,110.19,110.98,515900
2023-06-13,112.61,114.29,112.03,112.09,449900
2023-06-12,111.09,112.67,110.75,111.47,442700
2023-06-09,113.34,113.94,112.49,112.75,370000
2023-06-08,114.02,114.33,111.58,113.47,487400
2023-06-07,111.32,114.03,111.32,113.92,441400
2023-06-06,108.57,110.94,108.34,110.78,445600
2023-06-05,112.39,112.39,109.74,109.91,354900
2023-06-02,109.14,111.25,108.74,110.7,611200
2023-06-01,106.05,108.47,105.51,107.35,598500
2023-05-31,106.18,106.73,105.57,105.87,455400
2023-05-30,107.34,107.88,106.67,107.8,482300
2023-05-26,109.91,110.26,108.34,108.88,369300
2023-05-25,109.98,109.98,108.36,109.34,382700
2023-05-24,111.65,112.33,110.57,111.45,381300
2023-05-23,110.59,112.33,110.59,111.01,548600
2023-05-22,109.62,111.03,109.62,109.95,306200
2023-05-19,110.27,110.92,109.51,109.98,427200
2023-05-18,107.89,109.42,107.03,109.22,420300
2023-05-17,107.3,108.96,106.68,108.37,476000
2023-05-16,108.69,108.92,106.22,106.25,395000
2023-05-15,108.72,109.69,108.13,109.04,467400
2023-05-12,108.6,109.22,107.49,108.29,806000
2023-05-11,108.02,108.63,107.31,108.04,680700
2023-05-10,111.08,111.24,108.58,109.49,530600
2023-05-09,109.76,111.58,109.52,110.56,348500
2023-05-08,111.97,112.62,110.48,110.51,384900
2023-05-05,110.02,111.28,109.94,110.44,396000
2023-05-04,108.44,109.62,107.03,107.42,880700
2023-05-03,109.25,110.21,108.48,108.51,532500
2023-05-02,114.38,114.39,109.58,110.67,610800
2023-05-01,115.47,116.88,115.01,115.63,274400
2023-04-28,114.72,117.64,114.41,116.94,384500
