datetime,open,high,low,close,volume
2023-11-01,67.91,68.05,67.4101,67.8,32639762
2023-10-31,67.68,67.93,67.34,67.86,8586400
2023-10-30,66.83,67.74,66.83,67.62,12224000
2023-10-27,67.38,67.65,66.38,66.58,17587700
2023-10-26,67.97,68.22,67.48,67.5,13662200
2023-10-25,67.6,68.24,67.42,67.94,11351100
2023-10-24,67.24,67.83,67.22,67.71,12055600
2023-10-23,67.19,67.63,66.95,67.14,13777300
2023-10-20,67.68,67.98,67.27,67.27,14730100
2023-10-19,67.98,68.25,67.51,67.53,18237000
2023-10-18,68.06,68.55,67.92,68.03,16617700
2023-10-17,67.22,67.91,67.22,67.78,13192200
2023-10-16,67.19,67.7,66.91,67.49,16172800
2023-10-13,66.34,66.9,66.22,66.8,15641000
2023-10-12,67.15,67.18,65.99,66.22,15185000
2023-10-11,67.71,67.83,66.65,66.95,18293200
2023-10-10,67.28,67.74,67.07,67.41,18809600
2023-10-09,66.42,66.76,65.95,66.73,15662900
2023-10-06,66.75,66.9,65.18,66.67,28722400
2023-10-05,68.26,68.34,67.01,67.04,15757300
2023-10-04,68.02,68.44,67.63,68.39,15125900
2023-10-03,68.14,68.49,67.8,67.85,15396200
2023-10-02,68.65,68.74,67.89,68.34,12642500
2023-09-29,69.23,69.34,68.44,68.81,11797500
2023-09-28,68.9,69.19,68.72,69.01,12094400
2023-09-27,69.27,69.49,68.44,68.8,14182700
2023-09-26,69.59,69.79,69.3,69.37,11541000
2023-09-25,69.92,70.07,69.57,69.89,9137600
2023-09-22,70.54,70.72,70.1,70.14,12243000
2023-09-21,71.38,71.46,70.51,70.52,11869900
2023-09-20,71.57,71.92,71.23,71.44,10841700
2023-09-19,71.42,71.5,71.01,71.37,7733500
2023-09-18,71.8,71.83,71.24,71.54,6841200
2023-09-15,72.5,72.76,71.99,72.05,10891600
2023-09-14,72.12,72.7,72.09,72.65,9356000
2023-09-13,71.82,72.1,71.67,71.92,7863700
2023-09-12,72.36,72.38,71.64,71.7,13300200
2023-09-11,71.8,72.38,71.8,72.32,8450700
2023-09-08,71.64,71.71,71.42,71.7,8323000
2023-09-07,71.57,71.87,71.32,71.61,10149000
2023-09-06,71.44,71.6,71.21,71.44,9050100
2023-09-05,72.01,72.28,71.52,71.52,8634200
2023-09-01,73.0,73.04,71.9,72.14,8346400
2023-08-31,72.86,73.12,72.75,72.76,7731300
2023-08-30,73.1,73.36,72.93,73.13,9679300
2023-08-29,72.79,73.05,72.38,73.01,9502800
2023-08-28,72.66,72.88,72.5,72.75,6914800
2023-08-25,72.32,72.6,71.97,72.42,13088500
2023-08-24,72.35,73.0,72.0,72.02,13797500
2023-08-23,72.37,72.6,72.25,72.6,10796800
2023-08-22,72.3,72.38,72.02,72.12,11496500
2023-08-21,72.83,72.97,72.22,72.53,12005400
2023-08-18,72.63,73.17,72.56,73.02,12334500
2023-08-17,73.48,73.67,72.64,72.75,11798000
2023-08-16,73.93,74.14,73.37,73.46,14814900
2023-08-15,74.22,74.34,73.6,73.63,13257500
2023-08-14,74.9,75.1,74.3,74.43,11483800
2023-08-11,74.71,74.99,74.53,74.8,7472500
2023-08-10,75.07,75.53,74.58,74.68,10357700
2023-08-09,74.76,75.22,74.64,74.83,11912200
2023-08-08,75.21,75.29,74.52,74.72,11413600
2023-08-07,74.79,75.34,74.77,75.26,8875600
2023-08-04,75.5,75.68,74.58,74.65,10022800
2023-08-03,75.57,75.76,75.36,75.4,8774900
2023-08-02,75.04,76.08,75.04,75.61,11509700
2023-08-01,75.65,75.97,75.28,75.34,9376700
2023-07-31,76.0,76.23,75.46,75.75,10057100
2023-07-28,75.98,76.4,75.78,76.1,9672400
