datetime,open,high,low,close,volume
2023-11-01,59.77,60.73,59.19,60.37,49331812
2023-10-31,59.42,59.75,59.0,59.69,10681600
2023-10-30,58.98,59.57,58.53,59.18,14269600
2023-10-27,59.6,59.94,58.55,58.73,20250500
2023-10-26,59.51,60.39,59.49,59.86,23587300
2023-10-25,58.92,59.47,58.68,59.35,20654700
2023-10-24,58.41,59.26,58.23,59.02,23597200
2023-10-23,57.5,58.37,57.04,57.54,20520600
2023-10-20,58.5,59.07,58.02,58.03,20022000
2023-10-19,59.04,59.59,58.6,58.64,19681900
2023-10-18,59.69,60.05,58.85,59.23,23363500
2023-10-17,59.4,60.13,59.31,59.75,18480200
2023-10-16,59.42,60.13,58.96,59.91,19777400
2023-10-13,59.03,59.68,58.88,59.3,19784400
2023-10-12,59.26,59.61,58.11,58.64,27543300
2023-10-11,58.94,59.61,58.52,59.56,26673700
2023-10-10,57.82,58.64,57.82,58.61,30707200
2023-10-09,57.15,57.82,56.91,57.82,20243800
2023-10-06,55.75,57.39,54.77,57.25,34101100
2023-10-05,56.63,56.8,55.9,56.45,28145000
2023-10-04,57.13,57.24,55.89,56.78,29498600
2023-10-03,55.75,57.03,54.93,56.84,57618200
2023-10-02,58.59,58.59,55.52,56.19,55822700
2023-09-29,59.34,59.82,58.61,58.93,22865000
2023-09-28,60.36,60.48,58.74,58.83,38594900
2023-09-27,61.19,61.34,59.97,60.13,26021100
2023-09-26,62.94,63.01,61.14,61.31,23416700
2023-09-25,62.92,63.25,62.54,63.2,12364900
2023-09-22,63.13,63.71,62.87,63.29,12297700
2023-09-21,64.03,64.15,63.38,63.41,12814300
2023-09-20,64.28,64.75,63.89,64.08,9368000
2023-09-19,64.32,64.55,64.0,64.02,12444500
2023-09-18,64.46,64.58,63.92,64.37,9567500
2023-09-15,65.11,65.61,64.87,64.94,17398700
2023-09-14,64.68,65.26,64.59,65.22,13100500
2023-09-13,63.55,64.57,63.55,64.28,15060400
2023-09-12,63.43,63.7,63.01,63.52,11047400
2023-09-11,63.11,63.77,63.09,63.44,13511800
2023-09-08,62.74,63.29,62.54,63.18,16260700
2023-09-07,62.35,63.13,62.19,62.63,16874300
2023-09-06,61.77,61.89,61.42,61.82,19470100
2023-09-05,62.6,62.64,61.34,61.68,18825300
2023-09-01,63.29,63.51,62.15,62.64,14387700
2023-08-31,63.82,63.88,62.94,62.96,13771100
2023-08-30,63.65,64.07,63.33,63.57,11240400
2023-08-29,63.7,64.05,63.44,63.86,11873100
2023-08-28,63.74,64.09,63.49,63.62,8663200
2023-08-25,63.24,63.95,63.2,63.63,12490500
2023-08-24,63.41,64.28,63.09,63.15,12966900
2023-08-23,63.61,63.68,63.08,63.52,13386000
2023-08-22,63.05,63.45,62.81,63.27,13531100
2023-08-21,63.3,63.47,62.59,63.09,12081000
2023-08-18,63.15,63.64,63.09,63.49,12837800
2023-08-17,63.37,63.99,63.13,63.16,11876400
2023-08-16,63.29,63.58,63.05,63.3,12514200
2023-08-15,63.69,63.72,62.98,63.02,15189500
2023-08-14,64.53,64.57,63.78,64.06,10774800
2023-08-11,64.28,64.66,64.08,64.57,12168100
2023-08-10,64.68,65.07,64.03,64.22,13692200
2023-08-09,64.25,64.99,64.14,64.42,13193700
2023-08-08,63.97,64.31,63.38,64.28,15175100
2023-08-07,64.23,64.53,63.96,63.98,12565900
2023-08-04,64.91,65.33,63.71,63.99,18247000
2023-08-03,66.05,66.1,64.68,64.74,20633200
2023-08-02,65.98,66.56,65.87,66.25,15167500
2023-08-01,66.99,67.34,66.21,66.25,13459800
2023-07-31,67.31,67.58,66.76,67.07,12523500
2023-07-28,67.63,67.9,66.71,67.04,13216100
2023-07-27,68.13,68.42,67.05,67.19,16065100
2023-07-26,68.22,69.16,68.08,68.4,11579100
2023-07-25,68.2,68.61,67.99,68.4,8350800
2023-07-24,68.56,68.68,67.96,68.28,13242300
2023-07-21,67.72,68.73,67.6,68.46,18372500
