datetime,open,high,low,close,volume
2023-11-01,152.99001,154.08,151.78999,153.97,17300445
2023-10-31,151.03,152.57001,150.42999,152.10001,5084300
2023-10-30,151.31,151.91,149.64,150.96001,6929000
2023-10-27,150.62,151.89,149.10001,149.59,7613300
2023-10-26,150.23,151.05,147.83,148.03999,8460800
2023-10-25,152.28999,152.55,150.22,150.39,5600500
2023-10-24,153.03,154.47,152.37,153.49001,4980200
2023-10-23,151.08,153.78999,149.47,151.87,7853600
2023-10-20,153.72,153.8,151.61,151.69,6678900
2023-10-19,156.75999,157.48,153.35001,154.08,10567400
2023-10-18,160.69,160.94,157.81,158.12,5207300
2023-10-17,160.07001,162.72,159.77,161.92,6709900
2023-10-16,159.83,162.06,159.42999,161.53999,5535700
2023-10-13,161.58,161.83,158.53,158.97,5663500
2023-10-12,163.14999,163.44,160.24001,161.34,4590600
2023-10-11,163.2,163.99001,161.67999,163.12,3987200
2023-10-10,161.03,164.08,160.96001,162.53999,6729300
2023-10-09,158.67,161.10001,157.66,160.78,5248000
2023-10-06,157.81,161.23,156.94,160.61,7632500
2023-10-05,160.07001,160.5,158.23,159.49001,6961000
2023-10-04,157.96001,160.64,157.92,160.28999,7670300
2023-10-03,159.87,160.03999,156.64,157.19,7306900
2023-10-02,160.02,162.42,159.63,161.11,7331800
2023-09-29,162.46001,163.08,160.09,160.98,6558300
2023-09-28,157.78,160.59,157.38,160.13,5145900
2023-09-27,159.39,159.91,156.74001,158.36,6242500
2023-09-26,160.45,161.44,158.62,158.97,5833500
2023-09-25,160.27,162.25999,159.87,161.92,4743400
2023-09-22,163.52,163.86,160.78999,160.92999,7104700
2023-09-21,164.98,165.07001,162.5,162.53,6118000
2023-09-20,169.32001,170.28999,167.08,167.09,4428700
2023-09-19,168.74001,169.10001,167.22,168.77,4162000
2023-09-18,171.0,171.2,169.39,169.62,3721200
2023-09-15,173.98,174.22,171.39999,171.78999,5956700
2023-09-14,173.64999,175.23,172.84,174.78,4888500
2023-09-13,172.25999,173.57001,171.69,173.08,3992400
2023-09-12,172.67,173.83,171.72,171.72,4954100
2023-09-11,171.25999,173.56,171.17999,173.28999,5324300
2023-09-08,168.52,169.89999,168.28,168.75,2854700
2023-09-07,166.5,168.95,166.07001,168.75,5219700
2023-09-06,168.89999,169.16,167.06,168.28,5577500
2023-09-05,169.37,170.19,168.39,169.78999,4713100
2023-09-01,171.67999,172.12,168.67999,169.67,5309200
2023-08-31,170.28999,171.64,170.05,170.71001,3936300
2023-08-30,169.14,170.82001,168.72,170.17999,3644500
2023-08-29,165.28,169.52,165.28,169.45,4456900
2023-08-28,165.72,165.89,164.33,165.32001,2981400
2023-08-25,163.57001,165.14,162.10001,164.66,5046500
2023-08-24,166.38,166.60001,162.78999,162.84,3974500
2023-08-23,164.00999,166.57001,163.85001,166.09,3864300
2023-08-22,165.8,166.13,164.14999,164.77,4003300
2023-08-21,163.61,164.78999,162.67999,164.53,3322600
2023-08-18,161.27,163.09,160.92999,162.66,4124100
2023-08-17,166.31,166.47,162.92999,163.03,4354600
2023-08-16,167.2,168.3,165.78999,165.84,3357700
2023-08-15,169.61,170.36,167.67,167.92,3314300
2023-08-14,168.67999,170.25999,168.35001,170.24001,2819700
2023-08-11,169.14999,170.23,168.47,169.72,3151100
2023-08-10,171.17,172.91,169.48,170.3,4361500
2023-08-09,172.17,172.17999,169.60001,169.89,4522500
2023-08-08,171.56,172.19,170.25999,171.92999,3627700
2023-08-07,172.14999,173.34,170.71001,173.31,3684500
2023-08-04,173.85001,174.62,171.35001,171.55,6753600
2023-08-03,167.73,169.50999,167.33,169.09,4024800
2023-08-02,169.78,170.39,168.34,168.69,4853500
2023-08-01,172.87,173.11,171.64999,171.77,3450100
2023-07-31,173.19,173.75999,172.62,173.74001,3471800
2023-07-28,171.73,173.22,171.19,172.75999,3971500
2023-07-27,173.39,173.72,169.55,169.88,4732000
2023-07-26,170.62,172.41,170.46001,171.66,4417300
