datetime,open,high,low,close,volume
2023-11-02,32.71,33.36,32.66,33.33,15094657
2023-11-01,31.84,32.1,31.73,32.07,1910000
2023-10-31,31.81,31.83,31.6,31.74,1296600
2023-10-30,31.76,32.01,31.59,31.82,1543000
2023-10-27,31.96,31.97,31.41,31.48,1610800
2023-10-26,31.88,32.07,31.72,31.82,2079900
2023-10-25,31.97,32.3,31.91,31.99,2598700
2023-10-24,32.46,32.54,32.07,32.19,1491200
2023-10-23,32.35,32.71,32.14,32.41,1401100
2023-10-20,32.84,32.9,32.47,32.48,1596600
2023-10-19,32.96,33.21,32.81,32.87,1402700
2023-10-18,33.53,33.54,33.0,33.0,1952800
2023-10-17,33.29,33.82,33.29,33.62,1422700
2023-10-16,33.36,33.64,33.19,33.6,1076300
2023-10-13,33.5,33.56,33.12,33.18,1651900
2023-10-12,33.74,33.74,33.03,33.21,1148100
2023-10-11,33.48,33.68,33.42,33.66,1079700
2023-10-10,33.23,33.55,33.19,33.41,1261800
2023-10-09,32.69,33.21,32.64,33.14,1619700
2023-10-06,32.45,32.89,32.06,32.77,1744300
2023-10-05,32.21,32.52,32.14,32.48,1297100
2023-10-04,32.3,32.31,31.82,32.21,3200200
2023-10-03,32.47,32.55,32.13,32.3,2092300
2023-10-02,33.33,33.34,32.6,32.69,2607900
2023-09-29,34.0,34.14,33.44,33.46,1799200
2023-09-28,33.39,33.85,33.39,33.73,1741100
2023-09-27,33.68,33.74,33.16,33.39,1311600
2023-09-26,33.79,33.98,33.56,33.56,1609400
2023-09-25,33.85,34.16,33.78,34.1,1229500
2023-09-22,34.24,34.33,33.94,33.95,1279200
2023-09-21,34.42,34.56,34.0,34.01,1199900
2023-09-20,34.93,35.19,34.74,34.76,1498900
2023-09-19,35.31,35.38,34.81,34.85,2130000
2023-09-18,35.36,35.4,35.09,35.17,873800
2023-09-15,35.18,35.36,35.17,35.27,1222300
2023-09-14,34.9,35.29,34.86,35.24,2093700
2023-09-13,34.51,34.72,34.44,34.6,1738300
2023-09-12,34.33,34.59,34.3,34.48,613400
2023-09-11,34.31,34.46,34.15,34.37,538800
2023-09-08,34.08,34.23,33.99,34.01,880500
2023-09-07,34.13,34.27,34.0,34.01,685300
2023-09-06,34.43,34.57,34.12,34.28,805500
2023-09-05,34.86,34.9,34.59,34.6,855400
2023-09-01,34.88,34.99,34.76,34.93,733400
2023-08-31,34.82,34.91,34.57,34.69,1151200
2023-08-30,34.69,34.79,34.56,34.65,795900
2023-08-29,33.87,34.49,33.79,34.48,1421100
2023-08-28,33.7,33.99,33.69,33.92,619100
2023-08-25,33.71,33.77,33.26,33.61,902800
2023-08-24,33.74,33.86,33.56,33.6,738700
2023-08-23,33.44,33.95,33.42,33.85,914300
2023-08-22,33.81,33.81,33.45,33.48,1185600
2023-08-21,33.85,33.92,33.54,33.68,777800
2023-08-18,33.46,33.81,33.46,33.73,1355900
2023-08-17,34.1,34.2,33.68,33.73,815400
2023-08-16,33.93,34.08,33.84,33.89,1081100
2023-08-15,34.55,34.57,33.96,34.0,2059700
2023-08-14,34.87,34.87,34.62,34.75,734800
2023-08-11,34.73,35.09,34.7,34.96,1044400
2023-08-10,35.03,35.26,34.8,34.88,1045300
2023-08-09,34.7,34.89,34.63,34.81,1154400
2023-08-08,34.52,34.74,34.32,34.73,1392200
2023-08-07,34.89,35.02,34.83,34.95,2177600
2023-08-04,34.77,35.2,34.6,34.82,1198300
2023-08-03,34.7,34.86,34.62,34.73,1258000
2023-08-02,35.3,35.33,34.79,34.91,1594800
2023-08-01,35.7,35.77,35.51,35.62,1459100
2023-07-31,35.86,36.24,35.86,36.08,1075100
2023-07-28,35.78,35.94,35.67,35.78,1892600
2023-07-27,36.03,36.06,35.49,35.55,1679900
2023-07-26,35.82,35.97,35.71,35.88,894600
2023-07-25,35.93,36.06,35.89,35.9,678900
2023-07-24,35.8,36.13,35.8,36.01,1314000
2023-07-21,35.75,35.86,35.65,35.8,910500
2023-07-20,35.9,35.91,35.62,35.68,1020100
2023-07-19,35.69,35.85,35.67,35.81,1086900
2023-07-18,35.19,35.61,35.17,35.58,656800
2023-07-17,35.16,35.38,35.15,35.29,571900
2023-07-14,35.65,35.65,35.23,35.24,2712900
2023-07-13,35.11,35.59,35.11,35.53,1057300
2023-07-12,34.78,34.99,34.74,34.94,1068300
2023-07-11,34.35,34.51,34.31,34.45,795000
2023-07-10,34.26,34.41,34.21,34.28,1043500
2023-07-07,34.0,34.52,34.0,34.33,1265100
2023-07-06,34.43,34.46,34.0,34.08,1942600
2023-07-05,35.03,35.03,34.77,34.8,2598200
2023-07-03,34.96,35.25,34.93,35.2,1144400
2023-06-30,34.75,35.07,34.75,34.99,1533900
2023-06-29,34.25,34.59,34.25,34.59,1075600
2023-06-28,34.27,34.42,34.17,34.37,1212500
2023-06-27,34.22,34.49,34.16,34.46,950600
2023-06-26,33.81,34.34,33.81,34.23,1101200
2023-06-23,33.83,33.94,33.72,33.81,1153000
2023-06-22,34.25,34.25,34.09,34.19,1075200
2023-06-21,34.17,34.48,34.12,34.35,1006700
2023-06-20,34.51,34.56,34.15,34.26,1086100
2023-06-16,34.87,34.98,34.72,34.73,1364200
2023-06-15,34.27,34.86,34.27,34.77,1613400
2023-06-14,34.58,34.69,34.23,34.4,1505300
2023-06-13,34.35,34.56,34.33,34.37,1016600
2023-06-12,34.07,34.14,33.9,34.12,2131900
2023-06-09,34.19,34.32,34.02,34.1,1434000
2023-06-08,34.2,34.26,33.97,34.14,1068600
2023-06-07,34.18,34.49,34.07,34.15,2456000
2023-06-06,34.23,34.56,34.12,34.53,674000
2023-06-05,34.47,34.48,34.18,34.22,1107100
2023-06-02,34.09,34.46,34.02,34.44,1694800
2023-06-01,33.33,33.87,33.27,33.73,2200300
2023-05-31,33.25,33.34,33.13,33.26,2433100
2023-05-30,33.87,33.9,33.43,33.52,1134100
2023-05-26,33.66,33.83,33.61,33.78,1183400
2023-05-25,33.94,33.94,33.35,33.49,1776100
2023-05-24,34.2,34.2,33.8,33.81,1611300
2023-05-23,34.73,34.79,34.41,34.43,999000
2023-05-22,34.75,34.93,34.73,34.83,1773900
2023-05-19,34.93,34.93,34.67,34.78,946300
2023-05-18,34.71,34.74,34.46,34.72,1098700
2023-05-17,34.86,34.91,34.49,34.84,1798300
2023-05-16,35.18,35.22,34.66,34.67,914500
2023-05-15,34.91,35.26,34.91,35.24,1096000
2023-05-12,35.07,35.14,34.66,34.8,1165300
2023-05-11,35.03,35.03,34.76,34.94,3648200
2023-05-10,35.65,35.74,35.09,35.36,2264800
2023-05-09,35.33,35.54,35.24,35.51,1193300
2023-05-08,35.69,35.78,35.47,35.54,897300
2023-05-05,34.96,35.53,34.89,35.45,1470400
2023-05-04,34.53,34.74,34.46,34.5,1664800
2023-05-03,34.52,34.82,34.43,34.44,2749600
2023-05-02,34.9,34.91,34.32,34.58,1304700
2023-05-01,35.16,35.42,35.14,35.14,1405500
2023-04-28,34.7,35.23,34.7,35.2,1873300
2023-04-27,34.55,34.9,34.55,34.85,1588300
2023-04-26,34.55,34.77,34.35,34.44,1392200
2023-04-25,34.89,34.99,34.53,34.54,1270400
2023-04-24,35.22,35.3,35.14,35.23,805900
2023-04-21,35.17,35.26,35.03,35.22,1131500
