datetime,open,high,low,close,volume
2023-11-03,48.58,49.73,48.54,49.28,620100
2023-11-02,47.39,48.05,47.34,48.02,725600
2023-11-01,47.12,47.3,46.66,47.26,412500
2023-10-31,47.2,47.76,47.07,47.74,1273800
2023-10-30,48.96,49.18,47.85,48.05,715500
2023-10-27,48.69,49.03,48.135,48.27,359400
2023-10-26,47.91,48.38,47.62,47.85,499800
2023-10-25,48.83,48.94,48.23,48.34,469100
2023-10-24,49.08,49.99,49.08,49.75,360700
2023-10-23,48.22,49.07,47.51,48.5,645000
2023-10-20,49.3,49.63,48.9,48.97,443300
2023-10-19,50.25,50.5,49.34,49.6,461800
2023-10-18,52.62,52.92,51.19,51.28,556800
2023-10-17,52.44,53.74,52.44,53.45,348800
2023-10-16,52.62,53.21,52.11,53.08,465200
2023-10-13,53.68,53.79,52.79,52.94,435400
2023-10-12,54.59,54.88,53.61,53.92,568600
2023-10-11,53.8,54.17,53.28,53.6,298000
2023-10-10,52.75,53.81,52.49,53.65,630400
2023-10-09,51.67,52.12,51.31,52.05,356100
2023-10-06,50.97,52.37,50.93,52.27,519200
2023-10-05,52.44,52.74,51.25,51.67,462900
2023-10-04,52.28,53.08,51.67,53.02,905600
2023-10-03,53.39,53.59,52.59,52.71,731400
2023-10-02,54.96,54.97,53.95,54.17,351400
2023-09-29,55.77,55.98,55.04,55.17,309100
2023-09-28,54.0,55.15,54.0,54.99,288800
2023-09-27,54.03,54.19,53.29,53.84,349800
2023-09-26,54.0,54.44,53.66,53.74,522500
2023-09-25,54.34,54.92,54.21,54.74,390300
2023-09-22,55.57,55.84,54.71,54.77,364300
2023-09-21,55.0,55.02,54.33,54.36,408200
2023-09-20,56.77,57.15,55.96,55.99,241400
2023-09-19,57.21,57.53,56.74,56.95,350200
2023-09-18,57.83,57.88,57.38,57.58,167400
2023-09-15,57.97,58.27,57.72,57.89,354800
2023-09-14,57.8,58.27,57.66,58.18,188500
2023-09-13,57.5,57.91,57.23,57.53,280200
2023-09-12,58.01,58.64,57.97,58.04,212900
2023-09-11,57.75,58.3,57.59,58.06,316800
2023-09-08,57.49,57.7,56.95,57.17,298900
2023-09-07,58.2,58.2,57.31,57.94,345600
2023-09-06,59.59,59.87,58.66,59.02,362000
2023-09-05,59.52,60.03,59.52,59.87,278900
2023-09-01,59.62,59.86,59.28,59.4,278400
2023-08-31,59.31,59.61,59.05,59.26,362100
2023-08-30,59.5,59.63,59.1,59.39,350600
2023-08-29,57.74,59.81,57.61,59.77,541200
2023-08-28,57.2,57.62,57.0,57.44,366600
2023-08-25,57.05,57.48,56.5,57.2,367400
2023-08-24,57.96,57.96,57.06,57.12,497800
2023-08-23,56.99,57.78,56.81,57.74,408500
2023-08-22,57.79,58.13,56.96,57.14,517300
2023-08-21,57.07,57.76,57.0,57.72,435600
2023-08-18,56.49,57.06,56.15,56.97,712000
2023-08-17,58.06,58.26,57.51,57.63,545100
2023-08-16,57.7,58.3,57.56,57.65,727600
2023-08-15,58.89,59.05,58.17,58.37,585400
2023-08-14,59.64,59.71,58.78,59.68,728200
2023-08-11,61.27,61.28,60.51,60.73,438900
2023-08-10,62.19,62.97,61.69,61.94,392200
2023-08-09,62.76,63.0,61.89,62.04,368400
2023-08-08,62.09,62.67,61.6,62.63,520500
2023-08-07,63.5,63.57,62.39,62.99,423900
2023-08-04,64.1,64.53,63.53,63.6,381400
2023-08-03,63.92,64.27,63.56,63.98,376800
2023-08-02,64.39,64.39,63.24,63.58,1070500
2023-08-01,65.97,66.0,65.01,65.32,410000
2023-07-31,66.19,66.84,66.04,66.67,388700
2023-07-28,65.29,66.11,65.29,66.05,459000
2023-07-27,65.92,66.13,64.27,64.43,454400
2023-07-26,65.62,66.45,65.6,66.19,390500
2023-07-25,66.27,66.64,65.66,65.82,611600
2023-07-24,64.56,65.29,64.15,65.11,358800
2023-07-21,66.17,66.17,64.69,65.1,765800
2023-07-20,66.95,66.95,66.09,66.4,675300
2023-07-19,67.93,67.94,67.11,67.32,383800
2023-07-18,67.59,68.23,67.38,67.74,486400
2023-07-17,67.2,67.59,66.81,67.43,535800
2023-07-14,68.59,68.6,67.83,67.94,425200
2023-07-13,68.72,69.09,68.49,68.84,312300
2023-07-12,68.0,68.35,67.55,68.06,365600
2023-07-11,67.45,67.79,67.15,67.7,408500
2023-07-10,67.04,67.56,66.53,67.49,352200
2023-07-07,65.33,67.4,65.03,66.73,388100
2023-07-06,65.3,65.64,64.55,65.52,832000
2023-07-05,66.77,66.8,66.31,66.72,398000
2023-07-03,66.32,67.2,66.28,66.85,384400
2023-06-30,64.39,65.1,64.01,65.02,386000
2023-06-29,62.9,63.61,62.85,63.6,219400
2023-06-28,63.24,63.73,63.04,63.55,188500
2023-06-27,62.9,63.74,62.71,63.72,393300
2023-06-26,62.48,63.65,62.42,62.7,332500
2023-06-23,62.88,63.0,62.33,62.46,323600
2023-06-22,64.24,64.24,63.7,64.01,218500
2023-06-21,64.99,65.36,64.37,64.58,205900
2023-06-20,65.1,65.71,64.75,65.35,515300
2023-06-16,66.5,66.74,66.22,66.31,502900
2023-06-15,65.3,66.48,65.02,66.27,498700
2023-06-14,65.5,65.52,64.49,64.96,522600
2023-06-13,64.21,65.4,64.14,65.27,429000
