datetime,open,high,low,close,volume
2023-11-03,44.42,45.59,44.13,44.7,1106800
2023-11-02,41.76,43.44,41.68,43.04,1509500
2023-11-01,42.02,42.16,40.74,41.52,715800
2023-10-31,41.35,42.02,41.2,41.98,762400
2023-10-30,41.63,42.59,40.82,41.35,1007000
2023-10-27,42.0,42.34,40.885,40.95,1843300
2023-10-26,42.52,43.6901,42.52,43.05,788000
2023-10-25,43.22,43.39,42.04,42.64,1036000
2023-10-24,43.95,45.16,43.91,44.26,639800
2023-10-23,43.19,44.3,42.55,43.68,786500
2023-10-20,42.85,44.67,42.79,43.92,2241400
2023-10-19,47.86,48.07,46.62,46.75,1054600
2023-10-18,49.13,49.13,47.99,48.23,331700
2023-10-17,48.18,50.35,48.18,49.68,558000
2023-10-16,48.12,49.16,47.63,48.97,454000
2023-10-13,49.2,49.34,48.15,48.33,423400
2023-10-12,50.4,50.46,48.4,49.0,465900
2023-10-11,50.8,51.2,49.77,50.4,839500
2023-10-10,47.43,49.97,47.2,49.76,3135700
2023-10-09,46.82,47.46,46.41,47.09,425200
2023-10-06,46.0,48.04,45.83,47.73,866700
2023-10-05,47.6,47.9,46.31,46.66,671000
2023-10-04,47.81,48.08,46.37,47.9,1440900
2023-10-03,48.89,48.89,47.17,47.59,1624300
2023-10-02,51.2,51.33,49.24,49.43,939000
2023-09-29,52.52,53.53,51.47,51.79,836700
2023-09-28,51.91,52.11,50.66,51.85,956800
2023-09-27,52.11,52.73,51.38,51.68,659000
2023-09-26,51.73,52.47,51.66,51.74,652100
2023-09-25,52.17,53.4,52.07,52.57,691300
2023-09-22,54.0,54.1,52.81,52.82,737100
2023-09-21,53.96,54.06,53.24,53.59,899700
2023-09-20,55.0,55.61,54.39,54.54,614900
2023-09-19,54.24,55.31,54.24,54.6,468700
2023-09-18,55.55,55.55,54.17,54.24,979000
2023-09-15,56.4,56.95,55.6,55.92,529600
2023-09-14,55.86,57.22,55.62,57.1,586400
2023-09-13,56.67,57.0,55.36,55.62,432100
2023-09-12,55.49,56.96,55.33,56.79,620900
2023-09-11,56.0,56.44,55.55,55.73,270700
2023-09-08,55.65,55.74,55.07,55.57,658400
2023-09-07,55.57,55.69,54.72,55.56,664900
2023-09-06,57.68,58.0,56.41,56.81,553200
2023-09-05,58.2,58.53,57.86,58.02,469400
2023-09-01,58.6,59.46,58.21,58.41,359000
2023-08-31,58.3,58.77,58.11,58.23,554900
2023-08-30,58.63,58.89,58.04,58.28,519300
