datetime,open,high,low,close,volume
2023-11-03,27.58,27.63,26.77,27.0,2196100
2023-11-02,27.33,27.65,27.05,27.41,1658500
2023-11-01,27.13,27.35,26.67,27.08,3329800
2023-10-31,26.0,26.92,25.94,26.84,3141400
2023-10-30,25.58,25.9,25.26,25.76,1996500
2023-10-27,26.0,26.0,25.21,25.28,1833000
2023-10-26,26.2,26.4,25.41,25.82,2117600
2023-10-25,26.35,26.88,26.31,26.45,2377600
2023-10-24,25.71,26.4,25.71,26.27,1956600
2023-10-23,25.23,25.98,24.88,25.66,2017400
2023-10-20,26.0,26.07,25.28,25.69,3671000
2023-10-19,25.39,26.17,25.01,25.85,5918900
2023-10-18,25.39,25.75,25.08,25.41,1631700
2023-10-17,24.77,25.66,24.71,25.38,2063900
2023-10-16,25.4,25.59,24.72,24.87,2106800
2023-10-13,25.16,25.45,24.97,25.3,1331500
2023-10-12,25.8,25.8,24.87,25.21,1498000
2023-10-11,26.27,26.27,25.44,25.68,1764100
2023-10-10,26.04,26.45,25.84,26.2,2672900
2023-10-09,26.04,26.15,25.07,25.73,2180400
2023-10-06,25.73,26.48,25.48,26.16,1579300
2023-10-05,25.03,25.88,25.03,25.8,2594700
2023-10-04,25.37,25.39,24.45,25.18,4433800
2023-10-03,25.66,26.26,25.34,25.39,4348700
2023-10-02,26.9,26.99,25.8,26.07,4104300
2023-09-29,28.25,28.29,27.0,27.04,3419500
2023-09-28,27.53,28.42,27.48,28.04,4554100
2023-09-27,27.53,27.77,26.43,27.15,3405300
2023-09-26,27.75,27.85,27.1,27.2,2997600
2023-09-25,27.08,28.06,26.85,28.01,4806600
2023-09-22,26.11,27.13,26.11,26.79,3661100
2023-09-21,25.92,26.23,25.71,25.87,1613200
2023-09-20,26.49,27.04,26.31,26.36,1883000
2023-09-19,27.03,27.14,26.25,26.35,2117400
2023-09-18,26.78,26.86,26.26,26.78,2816000
2023-09-15,26.62,27.27,26.58,26.7,4473100
2023-09-14,26.15,26.8,26.01,26.45,6504800
2023-09-13,25.03,25.7,24.96,25.66,2218600
2023-09-12,24.72,25.11,24.7,24.9,1943100
2023-09-11,24.73,25.0,24.72,24.91,2311700
2023-09-08,24.55,24.61,24.18,24.5,1091700
2023-09-07,24.14,24.47,24.09,24.4,1522300
2023-09-06,24.69,24.87,24.24,24.49,2227400
2023-09-05,24.5,24.92,24.4,24.86,3551700
2023-09-01,24.33,24.5,24.14,24.31,2526900
2023-08-31,24.14,24.2,23.64,24.01,1689200
2023-08-30,23.65,24.28,23.65,24.05,1658400
2023-08-29,23.7,23.82,23.54,23.77,1775700
2023-08-28,23.68,23.82,23.62,23.78,1812100
2023-08-25,23.28,23.57,22.86,23.52,1453200
2023-08-24,23.46,23.46,23.05,23.1,1505800
2023-08-23,23.1,23.6,23.1,23.5,1453100
