datetime,open,high,low,close,volume
2023-11-03,47.51,47.51,45.53,46.01,1277800
2023-11-02,47.59,47.77,46.61,47.11,916300
2023-11-01,46.86,47.17,46.25,46.98,826100
2023-10-31,45.0,46.59,44.71,46.3,2235600
2023-10-30,44.0,44.65,43.53,44.47,408400
2023-10-27,45.0,45.0,43.37,43.53,908000
2023-10-26,45.51,45.91,44.15,44.84,1154100
2023-10-25,45.72,46.7,45.7,45.95,976900
2023-10-24,44.08,45.52,44.06,45.4,1155100
2023-10-23,43.5,44.69,42.55,44.02,790900
2023-10-20,44.5,44.58,43.197,44.04,1335400
2023-10-19,43.0,44.715,42.67,44.28,1609900
2023-10-18,43.24,43.73,42.42,43.03,634900
2023-10-17,41.95,43.405,41.8,42.96,1420100
2023-10-16,43.3,43.5,42.0,42.22,871600
2023-10-13,43.13,43.653,42.65,43.31,822700
2023-10-12,44.16,44.16,42.4,43.25,783300
2023-10-11,45.12,45.12,43.63,43.91,1070100
2023-10-10,44.4,45.44,44.37,44.97,922600
2023-10-09,45.19,45.24,43.17,44.31,627400
2023-10-06,44.82,46.04,44.35,45.31,617600
2023-10-05,43.39,44.89,43.32,44.72,573500
2023-10-04,43.52,43.9,42.45,43.49,1392200
2023-10-03,44.49,45.7,43.87,43.95,998300
2023-10-02,47.08,47.25,44.88,45.58,2071200
2023-09-29,49.53,49.53,46.94,47.17,2252800
2023-09-28,47.35,49.28,47.011,48.63,1063900
2023-09-27,47.48,48.19,45.45,46.99,1036800
2023-09-26,48.0,48.22,47.03,47.25,792700
2023-09-25,46.06,48.25,45.9,48.22,1730300
2023-09-22,44.4,46.0,44.003,45.42,915900
2023-09-21,43.59,44.25,43.21,43.64,667700
2023-09-20,44.13,45.7,44.054,44.36,626400
2023-09-19,45.5,45.58,43.9,44.03,795400
2023-09-18,45.11,45.11,43.81,45.0,620900
2023-09-15,44.44,45.705,44.44,44.78,1289000
2023-09-14,43.35,44.72,43.22,44.03,1192000
2023-09-13,41.15,42.5,41.1,42.46,617500
2023-09-12,40.5,41.29,40.5,40.95,696200
2023-09-11,40.5,41.08,40.37,40.88,594400
2023-09-08,39.6,40.25,39.33,40.07,336100
2023-09-07,39.4,39.93,39.31,39.73,373600
2023-09-06,40.72,40.91,39.71,40.16,422600
2023-09-05,39.73,40.72,39.73,40.64,696000
2023-09-01,39.0,39.52,38.75,39.1,374700
2023-08-31,38.72,38.84,37.86,38.52,343500
2023-08-30,37.57,38.91,37.57,38.5,500900
2023-08-29,38.02,38.183,37.612,37.86,313300
2023-08-28,38.04,38.19,37.8,38.03,427200
2023-08-25,37.26,37.82,36.5,37.74,303700
2023-08-24,37.59,37.59,37.02,37.05,292600
2023-08-23,37.18,37.89,37.0,37.69,357400
2023-08-22,37.58,37.59,36.68,37.35,333200
2023-08-21,35.94,37.19,35.94,37.15,919400
2023-08-18,34.34,35.73,34.25,35.64,391300
2023-08-17,34.75,34.868,34.4,34.55,329500
2023-08-16,34.57,35.2,34.57,34.75,415500
2023-08-15,35.55,35.55,34.59,34.7,253900
2023-08-14,35.93,35.93,35.16,35.56,225000
2023-08-11,35.27,36.01,34.963,36.01,553600
2023-08-10,35.6,36.41,35.19,35.35,526400
2023-08-09,35.06,35.31,34.75,35.18,590200
2023-08-08,34.69,35.095,34.0,35.07,277000
2023-08-07,34.97,35.41,34.69,34.9,485200
2023-08-04,34.22,34.86,34.12,34.4,236200
2023-08-03,34.2,34.53,33.75,34.21,399900
2023-08-02,34.61,34.61,33.13,34.11,546400
2023-08-01,34.45,34.814,34.271,34.75,146800
2023-07-31,33.99,34.85,33.86,34.75,364200
2023-07-28,33.3,33.77,33.28,33.5,205700
2023-07-27,34.01,34.01,32.86,33.02,272800
2023-07-26,34.33,34.33,33.63,34.01,219900
2023-07-25,33.99,34.7,33.5,34.39,244000
2023-07-24,33.12,33.79,33.12,33.45,213400
2023-07-21,33.68,33.76,33.181,33.28,126000
2023-07-20,34.12,34.2,33.56,33.7,152100
2023-07-19,34.55,34.64,33.89,34.16,264400
2023-07-18,33.61,34.5,33.432,34.45,246100
2023-07-17,33.57,33.78,33.14,33.75,250100
2023-07-14,34.58,34.61,33.53,33.59,300400
2023-07-13,34.0,34.688,33.8,34.58,455700
2023-07-12,33.3,34.038,33.3,33.61,296300
2023-07-11,32.7,33.3,32.7,33.26,187200
2023-07-10,32.0,32.82,32.0,32.8,221600
2023-07-07,31.62,32.68,31.62,32.25,208500
2023-07-06,32.93,32.94,31.65,31.74,458000
2023-07-05,33.31,33.565,32.936,33.17,173100
2023-07-03,33.43,33.78,33.2,33.36,202400
2023-06-30,33.24,33.75,33.24,33.57,154800
2023-06-29,33.07,33.48,32.84,33.24,78800
2023-06-28,32.59,33.33,32.55,32.99,201600
2023-06-27,32.77,32.985,32.55,32.72,105000
2023-06-26,32.75,33.295,32.75,32.96,218000
2023-06-23,32.93,33.25,32.75,32.86,194300
2023-06-22,33.77,33.901,32.87,33.41,292200
2023-06-21,33.95,34.5,33.71,34.22,465300
2023-06-20,34.71,34.82,33.85,34.41,340600
2023-06-16,34.86,34.929,34.49,34.87,373300
2023-06-15,34.03,34.83,33.932,34.72,277500
2023-06-14,34.93,34.93,33.82,34.1,621700
2023-06-13,35.49,36.16,34.372,34.72,741300
2023-06-12,33.82,34.96,33.753,34.96,482400
2023-06-09,33.83,34.03,33.12,33.87,260900
2023-06-08,32.97,34.04,32.92,33.99,502900
2023-06-07,33.45,33.71,32.95,33.0,193100
2023-06-06,33.35,33.49,32.56,33.44,211800
2023-06-05,33.06,33.87,32.75,33.57,497100
2023-06-02,33.38,33.6,32.72,33.1,325900
2023-06-01,30.76,33.15,30.76,32.79,719300
2023-05-31,29.25,30.63,28.86,30.5,312900
2023-05-30,29.86,30.08,28.79,29.3,294500
2023-05-26,30.35,30.641,29.9,30.18,141300
2023-05-25,30.5,30.781,30.1,30.18,106700
2023-05-24,31.0,31.105,30.57,30.75,135600
2023-05-23,31.64,31.87,31.1,31.48,255100
2023-05-22,30.8,32.37,30.8,31.9,188800
2023-05-19,31.29,31.49,30.91,31.07,103500
2023-05-18,31.0,31.0,30.56,30.95,125000
2023-05-17,30.82,31.135,30.655,31.05,156400
2023-05-16,31.72,31.72,30.91,30.91,170200
2023-05-15,31.79,32.03,31.69,31.8,77600
2023-05-12,31.55,32.01,31.525,31.84,123600
2023-05-11,32.49,32.55,31.38,31.7,212800
2023-05-10,32.76,33.111,32.3,32.74,238500
2023-05-09,31.14,32.4,31.025,32.36,321300
2023-05-08,31.39,31.43,31.08,31.34,209200
2023-05-05,30.16,31.29,30.16,31.15,193700
2023-05-04,29.81,29.99,29.6,29.96,157500
2023-05-03,29.66,30.212,29.585,29.61,461800
2023-05-02,29.99,30.04,29.58,29.78,173300
2023-05-01,30.93,30.99,30.155,30.3,186800
2023-04-28,30.28,31.13,30.02,31.05,391800
2023-04-27,29.74,30.25,29.68,30.11,233100
2023-04-26,29.56,30.3,29.41,29.44,367100
2023-04-25,29.36,29.63,29.2,29.56,305100
2023-04-24,29.35,29.43,29.16,29.41,343800
2023-04-21,29.52,29.575,29.09,29.38,267400
2023-04-20,29.55,29.95,29.55,29.65,296300
2023-04-19,29.87,29.87,29.531,29.78,244800
2023-04-18,30.3,30.45,29.87,30.07,373100
2023-04-17,30.72,30.72,30.135,30.29,189600
2023-04-14,31.5,31.5,30.39,30.75,178300
2023-04-13,30.24,31.38,30.24,31.13,299800
2023-04-12,30.72,30.88,30.1,30.28,169100
2023-04-11,29.95,30.56,29.9,30.45,461400
2023-04-10,29.62,29.93,29.35,29.88,328600
