datetime,open,high,low,close,volume
2023-11-03,148.16,149.44,146.14999,147.62,4929600
2023-11-02,144.74001,148.82001,143.91,148.71001,5007300
2023-11-01,145.78999,147.02,143.73,144.95,4217400
2023-10-31,144.21001,145.44,142.31,145.22,3808900
2023-10-30,143.89999,145.38,141.69,143.39999,5117400
2023-10-27,146.2,146.52,142.42999,143.89999,5566100
2023-10-26,144.61,146.71001,142.87,145.84,4610200
2023-10-25,146.49001,147.35001,145.53,146.52,4440300
2023-10-24,148.67999,148.92999,146.5,146.75,4573100
2023-10-23,148.8,149.96001,147.14,147.92,4924900
2023-10-20,152.39,153.10001,149.81,150.11,4764800
2023-10-19,152.19,154.19,150.61,152.67999,5828200
2023-10-18,152.67,153.73,151.74001,152.97,5705300
2023-10-17,149.58,152.33,149.58,151.83,5084400
2023-10-16,149.45,150.25999,147.81,150.06,4556700
2023-10-13,148.11,149.53,147.13,148.56,4934900
2023-10-12,146.82001,146.88,144.28,145.49001,4507200
2023-10-11,143.95,145.57001,142.75999,145.44,6067200
2023-10-10,145.45,146.89,144.56,145.67999,4916500
2023-10-09,143.31,145.88,142.67999,145.24001,7315900
2023-10-06,137.81,140.98,136.88,139.45,6468000
2023-10-05,134.99001,137.94,134.99001,136.95,5017700
2023-10-04,140.37,140.5,135.32001,136.78,7845300
2023-10-03,141.89999,142.87,140.55,142.44,5651800
2023-10-02,147.96001,148.28,141.78,142.98,6676200
2023-09-29,151.00999,151.00999,147.33,147.91,5694500
2023-09-28,149.52,151.53,149.45,150.53999,5741900
2023-09-27,147.78,150.92,147.12,149.73,6168600
2023-09-26,144.50999,146.67,144.31,145.42999,3797600
2023-09-25,143.39,146.19,143.12,146.06,3445800
2023-09-22,145.21001,146.14,143.19,143.42,4926400
2023-09-21,146.41,147.12,143.50999,143.84,5682900
2023-09-20,146.96001,148.7,145.39,145.53,3974300
2023-09-19,150.92,151.25999,147.05,147.8,4185700
2023-09-18,150.83,151.11,148.63,149.45,3430800
2023-09-15,151.74001,152.38,149.63,150.17999,5603800
2023-09-14,153.64,154.61,152.50999,152.78,4622600
2023-09-13,154.0,154.25999,151.00999,152.03,3456200
2023-09-12,151.64,154.14999,151.39999,153.81,3922400
2023-09-11,154.17,154.66,149.73,150.17999,4289500
2023-09-08,152.27,154.57001,152.25999,153.19,3250800
2023-09-07,151.53999,152.60001,150.92,151.45,3243100
2023-09-06,151.05,152.86,150.03,151.46001,3454200
2023-09-05,153.11,154.13,151.46001,151.5,5280800
2023-09-01,150.49001,152.78999,150.3,152.35001,3824600
2023-08-31,149.08,149.34,147.33,148.67999,2609600
2023-08-30,148.0,149.19,147.45,148.55,2913100
2023-08-29,147.31,147.82001,145.31,147.55,2199900
2023-08-28,147.2,148.14,145.78,146.81,2401000
2023-08-25,145.25999,146.7,143.56,145.96001,3173100
2023-08-24,143.52,145.63,143.50999,144.10001,3020800
2023-08-23,144.99001,145.60001,143.17,145.05,4083300
2023-08-22,148.25999,148.83,146.46001,146.53999,2587700
2023-08-21,149.0,149.89999,146.57001,148.05,2503000
2023-08-18,144.84,147.91,144.7,147.89,5313700
2023-08-17,146.77,148.0,146.09,146.36,3522400
2023-08-16,145.13,147.19,144.22,144.35001,3611100
2023-08-15,145.89999,146.25,144.19,145.0,3457400
2023-08-14,148.0,148.19,146.31,147.77,3198700
2023-08-11,146.84,149.53,146.83,148.81,3039700
2023-08-10,148.31,149.53,145.88,147.07001,3463400
2023-08-09,148.05,150.42999,146.83,148.34,4346000
2023-08-08,142.31,146.44,141.45,146.39,3660700
2023-08-07,144.71001,145.55,143.62,145.03999,3127600
2023-08-04,143.75999,146.22,143.13,144.24001,4289200
2023-08-03,140.87,144.57001,139.53,143.16,5040200
2023-08-02,141.39999,141.96001,138.75999,140.24001,4452200
2023-08-01,141.34,142.71001,140.45,142.56,4392400
2023-07-31,142.03999,143.22,141.88,143.03,3205300
2023-07-28,139.19,141.03999,137.95,140.92,3843100
2023-07-27,140.64,141.10001,137.63,138.14,3575600
2023-07-26,137.23,139.72,137.14999,139.14999,2571700
2023-07-25,137.92,140.03,136.92999,138.75,3715300
2023-07-24,136.71001,139.66,136.49001,138.28999,4707500
2023-07-21,136.28999,136.28999,134.56,136.08,3823500
2023-07-20,135.09,135.64999,134.07001,135.36,3741600
2023-07-19,133.87,135.34,133.14,133.94,3862000
2023-07-18,129.83,134.49001,129.73,133.25999,5991900
2023-07-17,128.64999,130.33,128.21001,129.62,3221400
2023-07-14,133.36,133.36,128.87,129.07001,4525600
2023-07-13,133.63,135.96001,132.85001,133.86,6363900
2023-07-12,134.02,134.97,132.82001,133.50999,4437200
2023-07-11,130.72,133.27,130.07001,133.03,4263000
2023-07-10,128.69,129.98,128.27,129.81,2901900
2023-07-07,124.74,130.55,124.74,128.72,5124900
2023-07-06,127.46,127.96,123.24,125.17,5726000
2023-07-05,129.7,129.77,127.97,128.39999,3149200
2023-07-03,129.02,130.03,128.57001,129.00999,2005800
2023-06-30,129.3,129.8,127.51,128.83,3119100
2023-06-29,125.93,128.11,125.67,128.07001,3067500
2023-06-28,124.25,125.97,122.93,125.64,4131000
2023-06-27,123.24,124.69,122.12,124.23,3317500
2023-06-26,122.03,124.72,121.99,123.56,2877200
2023-06-23,120.7,122.51,120.42,121.68,5037900
2023-06-22,123.26,123.59,121.87,122.72,5073700
2023-06-21,123.3,125.99,123.17,125.09,2709000
2023-06-20,126.24,126.24,122.31,123.83,4641400
2023-06-16,128.35001,128.36,126.33,127.74,5815300
2023-06-15,125.01,128.12,124.97,127.19,5224500
2023-06-14,127.81,128.16,123.24,124.7,4704600
2023-06-13,126.8,129.39999,126.39,126.46,5139100
2023-06-12,124.94,126.91,123.81,125.16,6450700
2023-06-09,127.75,128.81,126.56,127.29,4687000
2023-06-08,129.0,129.53,125.86,128.41,5526600
2023-06-07,125.51,129.24001,125.22,129.08,5634700
2023-06-06,120.48,124.63,120.09,124.5,4286000
2023-06-05,126.22,126.51,121.96,122.13,4355600
2023-06-02,121.71,124.47,120.86,123.86,6444800
2023-06-01,118.36,120.82,117.42,118.97,3817000
2023-05-31,118.0,119.39,117.39,118.09,5110200
2023-05-30,120.23,120.5,118.26,119.92,4693700
2023-05-26,123.67,123.74,121.19,122.34,2858700
2023-05-25,123.83,124.05,121.54,122.76,4056200
2023-05-24,126.31,127.18,124.46,126.16,5423400
2023-05-23,126.39,127.57,125.33,125.5,3214000
2023-05-22,123.06,126.34,122.9,125.18,5192800
2023-05-19,124.16,124.92,122.27,123.04,3892300
2023-05-18,119.75,122.97,118.73,122.81,3481400
2023-05-17,119.39,121.25,117.72,120.39,4266100
2023-05-16,120.5,121.41,117.77,117.81,3940100
2023-05-15,120.17,122.31,119.26,121.27,5372400
2023-05-12,119.1,119.66,117.12,119.02,4149300
2023-05-11,117.37,118.58,116.86,117.92,4060600
2023-05-10,120.28,120.78,118.04,119.31,3378400
2023-05-09,119.23,121.39,118.46,120.0,3587500
2023-05-08,123.4,124.12,120.43,120.66,4350200
2023-05-05,119.93,121.59,119.55,120.33,4342300
2023-05-04,118.08,119.68,115.89,116.28,6469800
2023-05-03,118.24,120.33,117.42,118.05,5788000
2023-05-02,124.3,124.4,118.61,120.4,6258700
2023-05-01,125.27,127.43,124.8,126.22,4266700
2023-04-28,124.02,128.14999,123.18,127.11,6155800
2023-04-27,123.27,124.61,121.69,123.79,3993700
2023-04-26,124.44,125.34,121.9,122.84,4996500
2023-04-25,127.59,127.72,124.52,125.02,4636200
2023-04-24,126.36,129.82001,126.19,129.24001,3510100
2023-04-21,128.53,128.69,126.26,126.91,3063900
2023-04-20,128.16,128.83,126.74,128.02,3786500
2023-04-19,129.38,130.12,127.76,130.08,5528000
2023-04-18,131.89,131.99001,130.17999,131.56,3447100
2023-04-17,134.82001,134.95,131.53,132.00999,5120600
2023-04-14,134.5,135.53999,133.2,134.42,3110800
2023-04-13,133.37,135.42999,133.03999,134.53999,4265500
