datetime,open,high,low,close,volume
2023-11-09,43.75,43.9,43.31,43.35,479000
2023-11-08,43.84,44.14,43.47,43.5,494100
2023-11-07,44.39,44.42,43.86,44.01,628300
2023-11-06,45.86,45.91,44.9,45.04,411200
2023-11-03,46.04,46.17,45.41,45.67,686000
2023-11-02,44.77,46.12,44.6,46.09,470700
2023-11-01,45.09,45.29,44.66,44.69,610900
2023-10-31,44.68,44.86,44.2481,44.8,387600
2023-10-30,44.68,44.98,44.195,44.62,567100
2023-10-27,45.52,45.62,44.37,44.54,719100
2023-10-26,45.5,45.75,45.07,45.57,665200
2023-10-25,45.97,46.18,45.62,45.83,728500
2023-10-24,46.69,46.7,45.93,45.93,509700
2023-10-23,46.93,47.02,46.35,46.54,584000
2023-10-20,48.0,48.16,47.15,47.3,754100
2023-10-19,48.1,48.56,47.69,48.18,955800
2023-10-18,48.08,48.5,47.99,48.28,619400
2023-10-17,47.26,48.06,47.26,47.94,439300
2023-10-16,47.39,47.52,46.95,47.43,318100
2023-10-13,46.83,47.35,46.7,47.11,548800
2023-10-12,46.58,46.58,45.9,46.16,364100
2023-10-11,46.01,46.15,45.53,46.13,430500
2023-10-10,46.55,46.93,46.32,46.6,615400
2023-10-09,46.23,46.69,45.89,46.53,490700
2023-10-06,44.71,45.41,44.22,45.0,760100
2023-10-05,44.39,45.06,44.38,44.7,587100
2023-10-04,45.75,45.78,44.52,44.9,869600
2023-10-03,46.17,46.48,45.92,46.39,1030100
2023-10-02,47.37,47.4,46.12,46.47,895800
2023-09-29,48.38,48.38,47.27,47.43,697800
2023-09-28,48.18,48.61,48.01,48.35,541500
2023-09-27,47.7,48.46,47.52,48.28,482300
2023-09-26,46.99,47.39,46.92,47.1,470900
2023-09-25,47.09,47.79,47.07,47.71,262900
2023-09-22,47.39,47.7,47.08,47.08,341700
2023-09-21,47.93,48.11,47.0,47.06,490000
2023-09-20,47.94,48.48,47.7,47.73,366800
2023-09-19,48.99,49.0,47.91,48.16,397400
2023-09-18,48.67,48.84,48.29,48.56,385500
2023-09-15,48.6,48.96,48.27,48.3,424600
2023-09-14,48.84,49.1,48.76,48.97,292500
2023-09-13,48.84,48.92,48.11,48.34,447200
2023-09-12,48.07,48.83,48.07,48.76,329900
2023-09-11,48.61,48.78,47.48,47.69,450000
2023-09-08,48.03,48.62,48.03,48.3,331900
2023-09-07,47.96,48.21,47.75,47.85,530400
2023-09-06,47.88,48.22,47.6,47.93,352500
2023-09-05,48.01,48.46,47.96,47.97,769900
2023-09-01,47.33,47.85,47.33,47.78,587400
2023-08-31,46.98,46.98,46.56,46.85,174600
2023-08-30,46.73,46.92,46.61,46.81,181700
2023-08-29,46.48,46.61,46.07,46.56,386900
2023-08-28,46.21,46.72,46.11,46.39,361000
2023-08-25,45.88,46.29,45.51,46.05,455600
2023-08-24,45.61,46.1,45.55,45.59,417500
2023-08-23,45.71,46.05,45.28,46.0,449800
2023-08-22,46.57,46.68,46.1,46.12,637900
2023-08-21,46.91,47.12,46.17,46.48,435000
2023-08-18,46.02,46.77,45.92,46.71,357900
2023-08-17,46.39,46.91,46.32,46.32,688400
2023-08-16,46.24,46.73,45.78,45.8,391400
2023-08-15,46.84,46.9,46.14,46.19,402200
2023-08-14,47.25,47.34,46.83,47.21,669500
2023-08-11,46.7,47.42,46.65,47.37,510900
2023-08-10,46.83,47.31,46.41,46.71,702300
