datetime,open,high,low,close,volume
2023-11-09,17.09,17.74,16.945,17.58,323600
2023-11-08,17.68,17.68,16.94,16.95,224900
2023-11-07,17.3,17.59,17.09,17.43,163100
2023-11-06,17.63,17.75,17.03,17.25,598900
2023-11-03,17.99,18.09,17.28,17.61,214100
2023-11-02,18.35,18.35,17.67,17.89,397400
2023-11-01,18.285,18.3,17.9,18.073,520500
2023-10-31,17.6,18.18,17.6,18.1,748400
2023-10-30,17.6,17.93,17.5,17.896,263200
2023-10-27,18.03,18.19,17.38,17.48,312100
2023-10-26,18.29,18.29,17.9,18.04,352600
2023-10-25,18.0,18.29,17.779,18.17,515500
2023-10-24,17.724,17.85,17.48,17.78,342800
2023-10-23,17.5,17.854,17.14,17.73,450900
2023-10-20,17.42,17.6,17.21,17.502,317100
2023-10-19,16.7,17.43,16.55,17.32,355200
2023-10-18,16.5,16.79,16.38,16.705,270400
2023-10-17,15.9,16.53,15.83,16.412,278800
2023-10-16,16.41,16.41,15.86,15.91,246900
2023-10-13,16.357,16.42,16.05,16.27,187400
2023-10-12,16.4,16.5,16.03,16.35,216400
2023-10-11,16.74,16.82,16.2,16.408,348200
2023-10-10,17.23,17.23,16.61,16.74,370000
2023-10-09,16.75,17.07,16.72,16.99,246800
2023-10-06,16.7,17.21,16.56,16.89,469600
2023-10-05,16.19,16.8,16.15,16.7,425800
2023-10-04,16.0,16.16,15.51,16.12,807600
2023-10-03,16.38,16.64,16.13,16.2,602100
2023-10-02,17.5,17.5,16.303,16.57,727900
2023-09-29,18.25,18.25,17.01,17.05,836200
2023-09-28,17.6,18.37,17.575,18.06,692600
2023-09-27,17.368,17.73,16.89,17.53,615500
2023-09-26,17.86,17.86,17.15,17.19,593600
2023-09-25,17.36,17.93,17.25,17.71,585800
2023-09-22,16.8,17.25,16.72,17.231,555400
2023-09-21,16.55,16.653,16.39,16.6,396200
2023-09-20,16.555,16.71,16.49,16.58,566300
2023-09-19,16.66,16.795,16.41,16.53,323000
2023-09-18,16.48,16.6,16.31,16.59,424900
2023-09-15,16.25,16.54,16.104,16.38,746600
2023-09-14,15.76,16.64,15.76,16.227,1579800
2023-09-13,15.3,15.74,15.165,15.67,983500
2023-09-12,14.85,15.105,14.77,15.08,531000
2023-09-11,15.0,15.23,14.77,14.77,467900
2023-09-08,14.9,14.9,14.63,14.84,235500
2023-09-07,14.7,14.8,14.62,14.664,279400
2023-09-06,15.03,15.03,14.7,14.8,353900
2023-09-05,15.1,15.23,14.926,14.96,767800
2023-09-01,14.69,14.9,14.69,14.76,275600
2023-08-31,14.7,14.73,14.48,14.73,233800
2023-08-30,14.4,14.63,14.31,14.61,279200
2023-08-29,14.41,14.41,14.16,14.35,139900
2023-08-28,14.25,14.39,14.06,14.3,192700
2023-08-25,14.21,14.28,14.07,14.25,258300
2023-08-24,14.293,14.36,14.13,14.16,234000
2023-08-23,14.0,14.403,13.96,14.36,446900
2023-08-22,13.9,14.005,13.79,13.99,226400
2023-08-21,13.79,13.84,13.6,13.8,420200
2023-08-18,13.32,13.68,13.19,13.67,247900
