datetime;open;high;low;close;volume
2023-09-07;62.35000;63.13000;62.19000;62.63000;16873800
2023-09-06;61.77000;61.89000;61.42000;61.82000;19470100
2023-09-05;62.60000;62.64000;61.34000;61.68000;18825300
2023-09-01;63.29000;63.51000;62.15000;62.64000;14387700
2023-08-31;63.82000;63.88000;62.94000;62.96000;13771100
2023-08-30;63.65000;64.07000;63.33000;63.57000;11240400
2023-08-29;63.70000;64.05000;63.44000;63.86000;11873100
2023-08-28;63.74000;64.09000;63.49000;63.62000;8663200
2023-08-25;63.24000;63.95000;63.20000;63.63000;12490500
2023-08-24;63.41000;64.28000;63.09000;63.15000;12966900
2023-08-23;63.61000;63.68000;63.08000;63.52000;13386000
2023-08-22;63.05000;63.45000;62.81000;63.27000;13531100
2023-08-21;63.30000;63.47000;62.59000;63.09000;12081000
2023-08-18;63.15000;63.64000;63.09000;63.49000;12837800
2023-08-17;63.37000;63.99000;63.13000;63.16000;11876400
2023-08-16;63.29000;63.58000;63.05000;63.30000;12514200
2023-08-15;63.69000;63.72000;62.98000;63.02000;15189500
2023-08-14;64.53000;64.57000;63.78000;64.06000;10774800
2023-08-11;64.28000;64.66000;64.08000;64.57000;12168100
2023-08-10;64.68000;65.07000;64.03000;64.22000;13692200
2023-08-09;64.25000;64.99000;64.14000;64.42000;13193700
2023-08-08;63.97000;64.31000;63.38000;64.28000;15175100
2023-08-07;64.23000;64.53000;63.96000;63.98000;12565900
2023-08-04;64.91000;65.33000;63.71000;63.99000;18247000
2023-08-03;66.05000;66.10000;64.68000;64.74000;20633200
2023-08-02;65.98000;66.56000;65.87000;66.25000;15167500
2023-08-01;66.99000;67.34000;66.21000;66.25000;13459800
2023-07-31;67.31000;67.58000;66.76000;67.07000;12523500
2023-07-28;67.63000;67.90000;66.71000;67.04000;13216100
2023-07-27;68.13000;68.42000;67.05000;67.19000;16065100
2023-07-26;68.22000;69.16000;68.08000;68.40000;11579100
2023-07-25;68.20000;68.61000;67.99000;68.40000;8350800
2023-07-24;68.56000;68.68000;67.96000;68.28000;13242300
2023-07-21;67.72000;68.73000;67.60000;68.46000;18372500
2023-07-20;66.42000;67.55000;66.08000;67.45000;16664500
2023-07-19;65.62000;66.63000;65.62000;66.24000;13577000
2023-07-18;66.02000;66.59000;64.99000;65.57000;18132900
2023-07-17;66.63000;66.78000;66.05000;66.08000;10630400
2023-07-14;66.94000;67.14000;66.47000;66.85000;10141200
2023-07-13;66.88000;67.13000;66.64000;67.11000;9917700
2023-07-12;66.12000;66.96000;66.00000;66.88000;13327500
2023-07-11;65.24000;65.94000;65.00000;65.92000;11437200
2023-07-10;65.28000;65.50000;64.59000;65.11000;12410100
2023-07-07;65.44000;65.85000;65.22000;65.39000;12892500
2023-07-06;66.15000;66.34000;65.51000;65.87000;15422800
2023-07-05;65.70000;67.18000;65.61000;66.68000;19169000
2023-07-03;65.30000;65.96000;65.08000;65.93000;8164600
2023-06-30;64.81000;65.51000;64.78000;65.44000;13926600
2023-06-29;64.21000;65.08000;64.07000;64.72000;14653900
2023-06-28;65.67000;65.67000;64.55000;64.72000;14723800
2023-06-27;65.72000;65.92000;65.48000;65.69000;8510400
2023-06-26;65.14000;65.87000;64.89000;65.67000;10267600
2023-06-23;66.19000;66.42000;64.94000;65.03000;12719600
2023-06-22;66.76000;66.89000;65.81000;66.00000;10000400
2023-06-21;65.75000;66.58000;65.03000;66.51000;10722700
2023-06-20;66.57000;66.71000;65.91000;65.98000;12925400
2023-06-16;67.10000;67.84000;67.05000;67.30000;13685100
2023-06-15;66.47000;67.10000;66.33000;66.94000;13701200
2023-06-14;66.50000;67.01000;66.09000;66.22000;14023600
2023-06-13;65.87000;66.49000;65.76000;66.26000;11868600
2023-06-12;66.44000;66.62000;66.00000;66.27000;11483700
2023-06-09;66.80000;66.85000;66.35000;66.39000;13316300
2023-06-08;66.47000;66.88000;65.97000;66.78000;14659100
2023-06-07;65.43000;66.65000;65.03000;66.49000;19264800
2023-06-06;65.73000;65.84000;65.20000;65.38000;12861600
2023-06-05;65.26000;66.14000;65.12000;65.43000;12044500
2023-06-02;64.12000;65.37000;63.97000;65.12000;23045800
2023-06-01;65.05000;65.14000;64.05000;64.45000;18653200
2023-05-31;64.37000;65.22000;63.96000;64.93000;17133100
2023-05-30;64.70000;65.03000;64.24000;64.34000;15582900
2023-05-26;64.49000;64.64000;63.93000;64.59000;16593900
2023-05-25;65.35000;65.38000;64.13000;64.59000;16126100
2023-05-24;65.81000;66.05000;65.36000;65.47000;11563800
2023-05-23;65.88000;66.55000;65.72000;65.90000;12064000
2023-05-22;66.28000;66.62000;65.89000;66.13000;9494700
2023-05-19;66.52000;66.89000;66.07000;66.11000;12472000
2023-05-18;66.10000;66.28000;65.63000;66.21000;16167800
2023-05-17;66.86000;66.88000;66.13000;66.41000;17088300
2023-05-16;68.08000;68.21000;66.61000;66.65000;14004000
