datetime;open;high;low;close;volume
2023-09-07;91.44000;91.90000;91.00880;91.17000;15361552
2023-09-06;91.04000;91.75000;90.59000;91.26000;20162100
2023-09-05;91.25000;92.15000;91.16000;91.22000;24368700
2023-09-01;89.90000;90.84000;89.88000;90.74000;17878100
2023-08-31;89.19000;89.34000;88.28000;88.92000;14808700
2023-08-30;88.82000;89.02000;88.47000;88.86000;13945100
2023-08-29;88.50000;88.51000;87.54000;88.42000;13509700
2023-08-28;87.82000;88.84000;87.67000;88.18000;12859100
2023-08-25;87.27000;88.03000;86.51000;87.59000;19018400
2023-08-24;86.56000;87.67000;86.50000;86.75000;16727500
2023-08-23;86.62000;87.43000;85.87000;87.35000;19399300
2023-08-22;88.36000;88.67000;87.52000;87.57000;12869700
2023-08-21;89.17000;89.53000;87.64000;88.25000;15244200
2023-08-18;87.43000;88.92000;87.15000;88.81000;17651900
2023-08-17;88.12000;89.14000;87.81000;87.94000;20232100
2023-08-16;87.75000;88.70000;86.84000;86.90000;18997700
2023-08-15;88.90000;89.00000;87.50000;87.66000;22491200
2023-08-14;89.65000;89.89000;88.92000;89.52000;15094700
2023-08-11;88.50000;90.00000;88.48000;89.90000;23335000
2023-08-10;88.68000;89.69000;87.94000;88.54000;19613300
2023-08-09;88.30000;89.36000;87.75000;88.55000;26042800
2023-08-08;85.61000;87.49000;84.97000;87.45000;18618600
2023-08-07;87.41000;87.59000;86.76000;87.02000;13410800
2023-08-04;87.42000;88.24000;86.82000;86.92000;21595300
2023-08-03;86.16000;87.58000;85.69000;86.80000;20815300
2023-08-02;86.48000;86.92000;85.20000;85.93000;22960000
2023-08-01;87.13000;87.32000;86.13000;87.07000;17883000
2023-07-31;86.60000;87.73000;86.35000;87.48000;18133200
2023-07-28;85.53000;85.87000;84.60000;85.85000;17313900
2023-07-27;86.61000;86.96000;85.35000;85.59000;17775300
2023-07-26;85.40000;86.48000;85.28000;86.14000;16394000
2023-07-25;85.62000;86.61000;85.10000;86.11000;16803300
2023-07-24;84.73000;86.28000;84.70000;85.66000;22269800
2023-07-21;83.87000;84.34000;83.33000;84.30000;15760000
2023-07-20;83.27000;83.73000;82.86000;83.56000;17724900
2023-07-19;82.11000;83.15000;81.93000;82.59000;18760500
2023-07-18;81.10000;82.96000;80.97000;82.11000;21607300
2023-07-17;81.16000;81.64000;80.92000;81.29000;16222900
2023-07-14;83.12000;83.20000;81.25000;81.45000;21991800
2023-07-13;83.98000;84.50000;82.88000;83.66000;26613200
2023-07-12;83.89000;84.45000;83.46000;83.98000;21538800
2023-07-11;81.79000;83.34000;81.63000;83.21000;19821000
2023-07-10;80.58000;81.58000;80.52000;81.42000;15462500
2023-07-07;78.70000;81.54000;78.64000;80.79000;24455000
2023-07-06;80.03000;80.59000;78.49000;79.09000;20983900
2023-07-05;81.70000;81.72000;80.45000;80.91000;16278700
2023-07-03;81.37000;81.97000;81.06000;81.36000;9769900
2023-06-30;81.20000;81.58000;80.60000;81.17000;17983000
2023-06-29;80.03000;80.65000;79.60000;80.65000;14217900
2023-06-28;78.85000;79.83000;78.15000;79.73000;16451600
2023-06-27;78.67000;79.27000;78.21000;78.93000;14194200
2023-06-26;77.50000;79.19000;77.32000;78.75000;16244300
2023-06-23;77.08000;77.57000;76.72000;77.36000;17452600
2023-06-22;78.26000;78.35000;77.63000;77.92000;16753700
2023-06-21;78.04000;79.65000;77.92000;78.98000;17236900
2023-06-20;79.62000;79.71000;77.77000;78.36000;21276000
2023-06-16;81.28000;81.51000;80.63000;80.86000;23721100
2023-06-15;80.24000;81.59000;80.22000;80.98000;23388500
2023-06-14;81.73000;82.09000;79.50000;80.10000;23802700
2023-06-13;81.44000;82.52000;80.89000;80.93000;20068200
2023-06-12;80.11000;81.36000;80.00000;80.55000;18193500
2023-06-09;81.74000;82.14000;81.11000;81.33000;19193500
2023-06-08;82.24000;82.52000;80.42000;81.78000;23077600
2023-06-07;80.40000;82.23000;80.35000;82.13000;30327100
2023-06-06;78.32000;80.08000;78.24000;80.01000;17375400
2023-06-05;81.07000;81.07000;79.23000;79.37000;18913100
2023-06-02;78.99000;80.28000;78.45000;79.90000;27635400
2023-06-01;76.77000;78.41000;76.25000;77.54000;25811800
2023-05-31;76.74000;77.33000;76.33000;76.59000;22398800
2023-05-30;77.40000;78.05000;77.10000;77.96000;20165800
2023-05-26;79.56000;79.78000;78.36000;78.77000;14392900
2023-05-25;79.35000;79.52000;78.34000;79.08000;19125500
2023-05-24;80.79000;81.13000;79.83000;80.51000;16737100
2023-05-23;80.07000;81.07000;79.86000;80.16000;21401900
2023-05-22;79.34000;80.12000;79.19000;79.31000;13471800
2023-05-19;79.76000;80.26000;79.19000;79.64000;18059100
2023-05-18;77.99000;79.13000;77.50000;79.03000;16577100
2023-05-17;77.77000;78.88000;77.20000;78.46000;23100300
2023-05-16;78.55000;78.89000;76.86000;76.98000;22255600
2023-05-15;78.81000;79.37000;78.19000;78.92000;16272300
2023-05-12;78.79000;79.32000;77.95000;78.52000;18952700
2023-05-11;78.23000;78.81000;77.80000;78.40000;19084100
2023-05-10;80.66000;80.82000;78.75000;79.35000;18026000
2023-05-09;79.60000;81.02000;79.43000;80.26000;20710600
2023-05-08;81.40000;81.75000;80.22000;80.23000;16355900
2023-05-05;80.27000;80.86000;79.79000;80.23000;19533600
2023-05-04;79.02000;79.82000;77.87000;78.11000;26430500
2023-05-03;79.48000;80.41000;78.96000;78.99000;29683800
2023-05-02;83.16000;83.29000;79.74000;80.51000;33824000
2023-05-01;84.06000;85.08000;83.72000;84.17000;13910700
2023-04-28;83.53000;85.59000;83.24000;85.13000;19110900
2023-04-27;83.48000;84.04000;82.69000;83.83000;17057300
2023-04-26;84.06000;84.84000;83.02000;83.53000;20035000
2023-04-25;85.44000;85.59000;84.16000;84.66000;15332600
2023-04-24;84.71000;86.68000;84.68000;86.28000;12625900
2023-04-21;85.79000;85.83000;84.60000;84.98000;16877100
2023-04-20;85.04000;85.50000;84.44000;85.48000;15198100
2023-04-19;85.76000;86.31000;85.29000;86.24000;17123100
2023-04-18;86.00000;86.76000;85.57000;86.54000;12246800
2023-04-17;86.94000;87.30000;85.90000;86.20000;11881000
2023-04-14;87.19000;87.74000;86.72000;87.23000;11775200
2023-04-13;86.40000;87.29000;86.19000;87.07000;15692300
2023-04-12;87.07000;87.25000;86.27000;86.53000;16667200
2023-04-11;86.14000;87.01000;85.65000;86.47000;12787600
2023-04-10;85.30000;86.64000;85.30000;85.66000;13488600
2023-04-06;86.16000;86.25000;84.81000;84.98000;16689300
2023-04-05;85.22000;86.29000;84.51000;86.29000;20276100
2023-04-04;86.84000;86.95000;84.25000;85.01000;24681500
2023-04-03;86.32000;87.14000;85.87000;86.58000;31226100
2023-03-31;82.47000;82.97000;82.17000;82.83000;16146100
2023-03-30;82.58000;82.70000;81.78000;82.26000;13730400
2023-03-29;81.58000;81.99000;81.05000;81.90000;18102300
2023-03-28;79.10000;81.13000;79.07000;80.78000;16298400
2023-03-27;78.71000;80.00000;78.08000;79.55000;20111900
2023-03-24;76.05000;78.19000;75.81000;77.89000;20649000
2023-03-23;79.11000;79.80000;76.84000;77.59000;24743100
2023-03-22;80.44000;80.81000;78.62000;78.68000;24604700
2023-03-21;79.30000;80.64000;79.06000;80.39000;29856200
2023-03-20;76.10000;78.20000;76.10000;77.70000;26144400
2023-03-17;77.75000;78.40000;76.34000;76.97000;33670400
2023-03-16;75.66000;78.40000;75.36000;78.20000;44395200
2023-03-15;78.75000;79.35000;76.24000;77.36000;57673500
2023-03-14;80.94000;83.57000;80.31000;81.75000;30533200
2023-03-13;80.52000;82.40000;79.11000;80.95000;41663500
2023-03-10;83.70000;84.88000;82.15000;82.63000;28307900
2023-03-09;85.39000;86.59000;83.68000;83.70000;18944100
2023-03-08;85.40000;86.49000;84.08000;84.90000;19699500
2023-03-07;86.78000;87.00000;85.56000;85.78000;18500200
2023-03-06;86.78000;87.44000;86.43000;87.30000;16949200
2023-03-03;85.06000;87.69000;85.00000;87.26000;25325800
2023-03-02;85.19000;86.41000;84.92000;86.09000;16399300
2023-03-01;83.76000;85.77000;83.45000;85.34000;18547000
2023-02-28;85.77000;85.80000;83.62000;83.69000;19003800
2023-02-27;84.83000;85.28000;84.21000;84.91000;15338200
2023-02-24;83.52000;84.78000;83.04000;84.66000;18748400
2023-02-23;84.77000;85.26000;83.70000;84.77000;17511700
2023-02-22;83.84000;84.63000;82.79000;83.51000;20135200
2023-02-21;84.12000;85.04000;83.91000;84.07000;16811300
2023-02-17;86.25000;86.31000;84.12000;84.49000;22320000
2023-02-16;88.00000;88.76000;87.52000;87.61000;12657100
2023-02-15;89.00000;89.19000;87.35000;88.48000;15972100
2023-02-14;89.27000;90.67000;89.02000;90.01000;13511300
2023-02-13;89.75000;90.33000;88.82000;89.98000;12372400
2023-02-10;88.25000;90.39000;88.17000;90.21000;19988800
2023-02-09;87.57000;87.85000;86.75000;86.81000;16075200
2023-02-08;88.28000;88.73000;87.06000;87.56000;13483600
2023-02-07;86.11000;88.48000;85.66000;88.35000;20507000
2023-02-06;86.04000;86.69000;84.52000;85.57000;15857200
2023-02-03;86.51000;87.91000;85.87000;85.96000;22725500
2023-02-02;87.82000;87.99000;85.20000;86.15000;24901500
2023-02-01;89.51000;89.89000;87.00000;88.16000;23483600
2023-01-31;88.84000;90.07000;87.93000;89.93000;13924100
2023-01-30;90.57000;90.70000;89.02000;89.14000;13762500
2023-01-27;92.61000;93.07000;91.08000;91.23000;17393300
2023-01-26;91.72000;93.15000;90.60000;93.11000;18331500
2023-01-25;89.81000;90.26000;88.38000;90.26000;13430600
2023-01-24;90.30000;90.46000;88.46000;90.25000;15377600
2023-01-23;91.14000;91.59000;90.31000;90.60000;14652500
2023-01-20;89.78000;90.79000;88.87000;90.48000;14277600
2023-01-19;87.98000;89.95000;87.79000;89.59000;17146900
2023-01-18;90.56000;91.57000;88.40000;88.49000;19037600
2023-01-17;90.16000;91.08000;89.77000;90.14000;16966600
2023-01-13;89.75000;90.17000;88.80000;89.95000;15901600
2023-01-12;88.67000;90.40000;88.50000;89.82000;18358000
2023-01-11;88.64000;88.86000;87.19000;88.14000;16451500
2023-01-10;87.82000;88.05000;86.49000;87.87000;15799500
2023-01-09;88.88000;89.02000;86.97000;87.25000;23001600
2023-01-06;87.04000;88.63000;86.82000;87.56000;22206200
2023-01-05;84.25000;86.40000;84.01000;85.93000;19361900
2023-01-04;83.15000;84.88000;82.83000;84.39000;22852600
2023-01-03;86.92000;87.36000;83.35000;84.40000;26541400
2022-12-30;86.46000;87.64000;86.45000;87.47000;11328400
2022-12-29;85.66000;87.31000;85.62000;86.92000;13457900
2022-12-28;87.87000;87.87000;85.75000;86.02000;15919000
2022-12-27;87.44000;88.36000;87.12000;87.99000;16374600
2022-12-23;85.49000;87.08000;85.05000;87.06000;14815000
2022-12-22;86.45000;86.50000;82.68000;84.37000;18679700
2022-12-21;86.48000;86.75000;85.21000;86.36000;17029100
2022-12-20;83.75000;85.29000;83.43000;84.75000;14296500
2022-12-19;84.38000;84.65000;82.88000;83.49000;18418300
2022-12-16;83.80000;84.76000;83.21000;84.36000;29546100
2022-12-15;85.18000;85.61000;83.96000;85.41000;20203300
2022-12-14;87.05000;87.36000;85.16000;85.93000;26337800
2022-12-13;86.50000;87.18000;85.78000;86.46000;27278700
2022-12-12;83.15000;85.05000;82.83000;84.85000;21092400
2022-12-09;84.47000;85.40000;82.65000;82.68000;24039700
2022-12-08;87.03000;87.22000;84.27000;84.74000;25640400
2022-12-07;85.30000;86.42000;84.37000;85.12000;24447100
2022-12-06;87.08000;88.13000;84.73000;85.32000;32465100
2022-12-05;91.20000;91.56000;86.88000;87.63000;25876900
2022-12-02;90.22000;91.38000;89.78000;90.31000;18375400
2022-12-01;91.79000;92.25000;90.54000;90.85000;19451000
2022-11-30;91.71000;91.89000;89.72000;91.15000;21915100
2022-11-29;90.34000;91.23000;90.01000;90.70000;19024200
2022-11-28;89.62000;90.75000;89.05000;89.35000;29131200
2022-11-25;92.27000;92.92000;91.71000;91.87000;7591300
2022-11-23;91.53000;92.80000;91.19000;92.21000;20598700
2022-11-22;91.52000;93.43000;91.10000;93.22000;26877500
2022-11-21;89.64000;90.63000;87.29000;90.39000;42576800
2022-11-18;90.65000;91.88000;89.51000;91.63000;23669700
2022-11-17;90.75000;92.44000;90.28000;92.36000;21429900
2022-11-16;93.24000;93.81000;91.68000;92.16000;23638600
2022-11-15;93.45000;94.32000;92.84000;94.08000;25771100
2022-11-14;92.86000;94.71000;92.85000;93.10000;23122600
2022-11-11;92.23000;93.61000;92.01000;93.13000;25531500
2022-11-10;90.36000;90.60000;88.50000;90.50000;29244100
2022-11-09;91.82000;92.11000;88.33000;88.53000;31514000
2022-11-08;92.81000;93.48000;91.94000;93.08000;21859300
2022-11-07;91.61000;93.28000;91.45000;92.99000;19387700
2022-11-04;92.33000;93.02000;90.14000;91.42000;30289400
2022-11-03;88.14000;90.83000;87.89000;90.32000;26817200
2022-11-02;90.58000;91.05000;88.47000;88.68000;28249600
2022-11-01;91.51000;91.55000;90.32000;90.87000;21755400
2022-10-31;88.37000;91.18000;88.27000;90.00000;29760400
2022-10-28;89.90000;90.63000;87.65000;89.25000;24664000
2022-10-27;89.84000;90.44000;88.67000;88.94000;25010600
2022-10-26;87.76000;89.32000;87.70000;88.62000;22706500
2022-10-25;87.00000;87.83000;86.53000;87.43000;18841800
2022-10-24;86.88000;87.95000;86.41000;87.34000;22496000
2022-10-21;84.96000;87.10000;84.74000;86.93000;25257100
2022-10-20;85.05000;85.83000;83.98000;84.49000;25261800
2022-10-19;82.23000;84.72000;82.20000;84.41000;31263800
2022-10-18;81.95000;82.75000;80.41000;81.99000;25187900
2022-10-17;81.54000;82.62000;81.05000;81.28000;18994200
2022-10-14;82.48000;83.67000;80.12000;80.28000;26747300
2022-10-13;79.07000;83.71000;79.05000;83.39000;35067400
2022-10-12;78.96000;80.68000;78.44000;80.12000;20551200
2022-10-11;78.62000;80.85000;78.29000;79.48000;26921100
2022-10-10;82.12000;82.82000;79.86000;80.12000;23165800
2022-10-07;82.61000;83.54000;81.21000;81.80000;28449900
2022-10-06;80.34000;82.69000;80.28000;82.44000;26335100
2022-10-05;79.33000;81.63000;78.65000;81.00000;30636800
2022-10-04;77.63000;79.43000;77.02000;79.36000;33165400
2022-10-03;74.61000;76.49000;74.49000;76.09000;34775300
2022-09-30;72.02000;73.02000;71.32000;72.02000;21676100
2022-09-29;72.07000;72.75000;70.80000;72.60000;24281500
2022-09-28;70.22000;73.00000;69.80000;72.60000;31573800
2022-09-27;69.94000;70.81000;69.13000;69.52000;33835600
2022-09-26;70.04000;70.92000;68.66000;68.75000;36079800
2022-09-23;72.76000;72.90000;69.94000;70.48000;52724200
2022-09-22;77.35000;77.60000;75.64000;75.70000;28874000
2022-09-21;78.55000;78.66000;75.94000;75.97000;34352900
2022-09-20;77.10000;77.55000;76.19000;77.10000;21149800
2022-09-19;75.46000;77.69000;75.28000;77.64000;18812900
2022-09-16;79.90000;79.96000;77.30000;78.44000;35199500
2022-09-15;80.81000;81.15000;79.76000;80.15000;27943200
2022-09-14;80.76000;82.85000;80.76000;82.27000;27192100
2022-09-13;80.80000;82.18000;79.65000;80.01000;30573000
2022-09-12;81.78000;82.97000;81.08000;82.08000;20865900
2022-09-09;80.05000;80.99000;79.46000;80.60000;19303500
2022-09-08;78.65000;79.03000;77.69000;78.64000;26840800
2022-09-07;77.49000;78.64000;76.78000;78.30000;30270700
2022-09-06;80.71000;80.98000;78.89000;79.22000;22784100
2022-09-02;80.45000;81.02000;79.53000;79.96000;28583600
2022-09-01;79.31000;79.61000;77.42000;78.52000;28302100
2022-08-31;79.23000;81.84000;78.94000;80.50000;29152300
2022-08-30;82.65000;82.67000;80.57000;81.24000;28820900
2022-08-29;82.80000;85.18000;82.59000;84.09000;26062500
2022-08-26;83.65000;84.56000;82.47000;82.84000;19317600
2022-08-25;83.66000;84.24000;83.01000;83.82000;19899300
2022-08-24;82.18000;83.30000;81.81000;83.18000;24546600
2022-08-23;80.61000;82.79000;80.55000;82.17000;27183500
2022-08-22;78.78000;79.80000;77.48000;79.31000;22848100
2022-08-19;79.28000;80.01000;78.82000;79.46000;19733300
2022-08-18;78.26000;79.56000;78.12000;79.48000;23433000
2022-08-17;76.41000;78.20000;76.21000;77.40000;22736200
2022-08-16;77.05000;77.86000;76.28000;76.76000;19678800
2022-08-15;75.63000;77.36000;74.94000;76.94000;21012200
2022-08-12;77.37000;78.51000;77.04000;78.47000;19188400
2022-08-11;76.70000;78.54000;76.47000;77.88000;30265800
2022-08-10;74.92000;75.72000;73.44000;75.29000;17394200
2022-08-09;74.50000;75.70000;74.37000;74.75000;17341500
2022-08-08;73.00000;74.12000;72.89000;73.46000;18878300
2022-08-05;70.69000;73.71000;70.69000;73.08000;22586000
2022-08-04;73.91000;74.12000;71.39000;71.66000;27995500
2022-08-03;76.94000;77.17000;73.96000;74.42000;28506600
2022-08-02;76.81000;77.39000;75.94000;76.62000;19932200
2022-08-01;77.08000;77.28000;75.77000;76.80000;25665500
2022-07-29;76.53000;78.66000;76.38000;78.42000;25819900
2022-07-28;75.41000;75.93000;73.77000;75.16000;23332700
2022-07-27;73.56000;75.11000;72.81000;74.74000;22405400
2022-07-26;74.64000;74.97000;72.60000;73.09000;18614400
2022-07-25;72.13000;73.83000;71.27000;73.76000;19556000
2022-07-22;72.02000;72.73000;70.74000;71.15000;20415600
2022-07-21;71.02000;71.81000;69.66000;71.74000;21579600
2022-07-20;71.52000;73.35000;71.22000;73.02000;20924700
2022-07-19;70.06000;72.50000;70.04000;72.32000;24388200
2022-07-18;70.42000;71.32000;69.83000;70.16000;25726800
2022-07-15;68.96000;69.03000;67.57000;68.59000;29953200
2022-07-14;66.38000;67.57000;65.48000;67.49000;36636800
2022-07-13;67.90000;70.23000;67.90000;68.79000;29489000
2022-07-12;68.43000;69.31000;67.66000;68.90000;32345100
2022-07-11;70.06000;70.86000;69.33000;70.27000;22754100
2022-07-08;71.84000;72.14000;69.96000;70.95000;21969200
2022-07-07;70.37000;71.54000;70.20000;70.98000;33793600
2022-07-06;68.95000;70.19000;66.45000;68.51000;48209500
2022-07-05;71.08000;71.42000;68.19000;69.70000;44932900
2022-07-01;72.38000;72.89000;70.13000;72.58000;34597000
2022-06-30;71.48000;73.36000;70.87000;71.51000;37766700
2022-06-29;76.73000;76.99000;72.84000;73.05000;35592000
2022-06-28;75.44000;76.90000;74.54000;75.68000;39784000
2022-06-27;72.42000;74.19000;72.33000;73.69000;33979400
2022-06-24;71.87000;73.11000;70.83000;71.59000;47398500
2022-06-23;73.73000;74.26000;69.47000;70.66000;56921100
2022-06-22;72.76000;74.67000;72.36000;73.38000;41212600
2022-06-21;74.61000;76.96000;74.48000;76.44000;35006700
2022-06-17;77.20000;77.77000;72.60000;73.49000;64202800
2022-06-16;80.19000;80.63000;77.07000;77.74000;57979100
2022-06-15;84.05000;84.47000;80.99000;82.38000;43223200
2022-06-14;85.77000;86.87000;83.14000;84.24000;34756400
2022-06-13;86.02000;86.11000;82.41000;84.08000;44731300
2022-06-10;89.20000;90.54000;87.68000;88.71000;31268000
2022-06-09;91.49000;92.07000;90.14000;90.24000;24588100
2022-06-08;92.53000;93.31000;91.71000;92.28000;28492700
2022-06-07;89.35000;92.20000;89.28000;92.08000;25689400
2022-06-06;89.94000;90.00000;88.93000;89.41000;16692300
2022-06-03;88.45000;89.79000;88.35000;89.51000;20520800
2022-06-02;88.00000;88.96000;87.46000;88.34000;26302700
2022-06-01;88.30000;89.27000;87.33000;88.62000;29648600
2022-05-31;89.99000;90.46000;86.73000;87.20000;39340600
2022-05-27;86.55000;88.77000;86.34000;88.53000;18667200
2022-05-26;86.51000;87.59000;86.45000;86.94000;21339100
2022-05-25;84.54000;86.11000;84.42000;85.99000;26324000
2022-05-24;83.00000;84.60000;82.36000;84.25000;26563800
2022-05-23;82.74000;84.22000;82.23000;83.93000;26644700
2022-05-20;82.42000;83.39000;80.13000;81.77000;31920000
2022-05-19;79.86000;82.79000;79.86000;81.42000;35720500
2022-05-18;84.47000;84.57000;80.74000;81.72000;33230700
2022-05-17;84.03000;84.38000;83.12000;83.87000;28164700
2022-05-16;81.07000;83.76000;81.02000;82.91000;28259400
2022-05-13;79.27000;81.10000;79.13000;80.78000;29718700
2022-05-12;77.75000;78.15000;75.68000;78.11000;45021800
2022-05-11;78.03000;80.33000;77.65000;77.78000;49852500
2022-05-10;77.23000;78.69000;75.13000;76.75000;56863900
2022-05-09;81.14000;81.21000;75.75000;76.06000;53022000
2022-05-06;81.56000;82.93000;79.93000;82.92000;47122800
2022-05-05;82.33000;82.41000;78.88000;80.52000;46597000
2022-05-04;80.00000;81.92000;78.98000;81.75000;45383700
2022-05-03;76.49000;78.85000;76.44000;78.49000;41649400
2022-05-02;74.69000;76.38000;74.46000;76.35000;52070600
2022-04-29;77.30000;77.74000;74.88000;75.15000;39708100
2022-04-28;75.36000;77.76000;73.88000;77.13000;43734800
2022-04-27;74.25000;75.59000;72.92000;74.86000;44566300
2022-04-26;74.23000;75.80000;73.59000;73.78000;44584300
2022-04-25;73.80000;74.08000;71.00000;73.68000;55362200
2022-04-22;77.80000;78.92000;76.17000;76.20000;35749600
2022-04-21;81.15000;81.51000;77.81000;78.11000;32578900
2022-04-20;80.57000;81.10000;79.79000;80.67000;26039700
2022-04-19;80.60000;81.39000;79.89000;80.36000;22863900
2022-04-18;80.51000;81.50000;80.01000;81.02000;30456600
2022-04-14;79.21000;80.48000;79.09000;79.85000;25934700
2022-04-13;79.38000;79.81000;78.07000;79.59000;24647900
2022-04-12;78.70000;79.85000;78.27000;78.42000;31964700
2022-04-11;78.68000;78.70000;76.97000;77.14000;26230500
2022-04-08;77.61000;79.75000;77.61000;79.53000;26713100
2022-04-07;76.76000;77.66000;75.34000;77.40000;27048700
2022-04-06;76.78000;77.47000;75.97000;76.40000;32164200
2022-04-05;77.30000;78.49000;75.86000;75.95000;27288600
2022-04-04;77.56000;77.81000;76.34000;77.16000;23003700
2022-04-01;76.34000;77.78000;76.29000;77.06000;24806300
2022-03-31;76.76000;78.21000;76.43000;76.44000;32803300
2022-03-30;77.34000;78.04000;76.86000;77.49000;24868200
2022-03-29;75.08000;76.64000;74.19000;76.60000;36637000
2022-03-28;77.13000;77.16000;76.31000;76.80000;34880200
2022-03-25;76.60000;78.85000;76.54000;78.75000;28041800
2022-03-24;77.16000;77.82000;76.55000;77.06000;26350300
