datetime;open;high;low;close;volume
2023-09-18;71.79000;71.83000;71.32000;71.38000;1470812
2023-09-15;72.50000;72.76000;71.99000;72.05000;10891600
2023-09-14;72.12000;72.70000;72.09000;72.65000;9356000
2023-09-13;71.82000;72.10000;71.67000;71.92000;7863700
2023-09-12;72.36000;72.38000;71.64000;71.70000;13300200
2023-09-11;71.80000;72.38000;71.80000;72.32000;8450700
2023-09-08;71.64000;71.71000;71.42000;71.70000;8323000
2023-09-07;71.57000;71.87000;71.32000;71.61000;10149000
2023-09-06;71.44000;71.60000;71.21000;71.44000;9050100
2023-09-05;72.01000;72.28000;71.52000;71.52000;8634200
2023-09-01;73.00000;73.04000;71.90000;72.14000;8346400
2023-08-31;72.86000;73.12000;72.75000;72.76000;7731300
2023-08-30;73.10000;73.36000;72.93000;73.13000;9679300
2023-08-29;72.79000;73.05000;72.38000;73.01000;9502800
2023-08-28;72.66000;72.88000;72.50000;72.75000;6914800
2023-08-25;72.32000;72.60000;71.97000;72.42000;13088500
2023-08-24;72.35000;73.00000;72.00000;72.02000;13797500
2023-08-23;72.37000;72.60000;72.25000;72.60000;10796800
2023-08-22;72.30000;72.38000;72.02000;72.12000;11496500
2023-08-21;72.83000;72.97000;72.22000;72.53000;12005400
2023-08-18;72.63000;73.17000;72.56000;73.02000;12334500
2023-08-17;73.48000;73.67000;72.64000;72.75000;11798000
2023-08-16;73.93000;74.14000;73.37000;73.46000;14814900
2023-08-15;74.22000;74.34000;73.60000;73.63000;13257500
2023-08-14;74.90000;75.10000;74.30000;74.43000;11483800
2023-08-11;74.71000;74.99000;74.53000;74.80000;7472500
2023-08-10;75.07000;75.53000;74.58000;74.68000;10357700
2023-08-09;74.76000;75.22000;74.64000;74.83000;11912200
2023-08-08;75.21000;75.29000;74.52000;74.72000;11413600
2023-08-07;74.79000;75.34000;74.77000;75.26000;8875600
2023-08-04;75.50000;75.68000;74.58000;74.65000;10022800
2023-08-03;75.57000;75.76000;75.36000;75.40000;8774900
2023-08-02;75.04000;76.08000;75.04000;75.61000;11509700
2023-08-01;75.65000;75.97000;75.28000;75.34000;9376700
2023-07-31;76.00000;76.23000;75.46000;75.75000;10057100
2023-07-28;75.98000;76.40000;75.78000;76.10000;9672400
2023-07-27;76.13000;76.31000;75.32000;75.32000;10008500
2023-07-26;75.70000;76.21000;75.58000;75.99000;10506500
2023-07-25;75.83000;75.92000;75.51000;75.90000;8576600
2023-07-24;75.61000;76.03000;75.54000;75.92000;10692500
2023-07-21;75.49000;75.84000;75.40000;75.63000;13836800
2023-07-20;74.80000;75.47000;74.64000;75.37000;16106300
2023-07-19;74.22000;74.81000;74.17000;74.73000;14718700
2023-07-18;73.99000;74.61000;73.75000;73.98000;10124900
2023-07-17;74.00000;74.31000;73.79000;74.06000;9496300
2023-07-14;74.05000;74.41000;73.83000;74.28000;12475600
2023-07-13;73.85000;74.16000;73.55000;74.03000;10581500
2023-07-12;73.68000;73.92000;73.56000;73.72000;12680900
2023-07-11;73.50000;73.66000;73.11000;73.55000;9812500
2023-07-10;73.57000;74.16000;73.35000;73.44000;11953600
2023-07-07;74.25000;74.25000;73.41000;73.46000;16405400
